Grid_Number,num_Government_Facilities
570,12.0
571,25.0
572,40.0
573,55.0
574,57.0
575,58.0
576,56.0
577,53.0
578,52.0
579,44.0
580,29.0
581,7.0
582,8.0
583,7.0
584,5.0
585,4.0
586,4.0
587,3.0
588,3.0
589,3.0
590,5.0
591,5.0
592,7.0
593,10.0
594,10.0
595,7.0
596,8.0
597,9.0
598,7.0
599,6.0
600,8.0
601,9.0
602,9.0
603,13.0
604,15.0
605,16.0
606,16.0
607,15.0
608,8.0
609,8.0
610,13.0
611,14.0
612,15.0
613,15.0
614,18.0
615,18.0
616,19.0
617,16.0
618,11.0
619,18.0
620,17.0
621,16.0
622,18.0
623,23.0
624,23.0
625,23.0
626,15.0
627,14.0
628,14.0
629,22.0
630,29.0
631,33.0
632,52.0
633,58.0
634,59.0
635,56.0
636,54.0
637,51.0
638,36.0
639,15.0
640,8.0
641,6.0
642,6.0
643,6.0
644,4.0
645,4.0
646,4.0
647,2.0
648,3.0
649,5.0
650,6.0
651,9.0
652,10.0
653,15.0
654,15.0
655,15.0
656,8.0
657,6.0
658,7.0
659,7.0
660,9.0
661,9.0
662,9.0
663,11.0
664,10.0
665,11.0
666,8.0
667,7.0
668,10.0
669,14.0
670,17.0
671,19.0
672,20.0
673,19.0
674,20.0
675,22.0
676,22.0
677,15.0
678,15.0
679,19.0
680,18.0
681,25.0
682,28.0
683,28.0
684,28.0
685,20.0
686,18.0
687,19.0
688,26.0
689,29.0
690,32.0
691,41.0
692,50.0
693,55.0
694,56.0
695,49.0
696,42.0
697,20.0
698,11.0
699,10.0
700,6.0
701,6.0
702,6.0
703,6.0
704,4.0
705,4.0
706,4.0
707,1.0
708,8.0
709,0.0
710,0.0
711,10.0
712,10.0
713,15.0
714,15.0
715,16.0
716,6.0
717,8.0
718,7.0
719,8.0
720,9.0
721,10.0
722,10.0
723,10.0
724,8.0
725,8.0
726,9.0
727,13.0
728,17.0
729,18.0
730,17.0
731,20.0
732,25.0
733,32.0
734,46.0
735,46.0
736,47.0
737,40.0
738,28.0
739,37.0
740,43.0
741,44.0
742,35.0
743,36.0
744,31.0
745,29.0
746,29.0
747,31.0
748,30.0
749,33.0
750,38.0
751,45.0
752,53.0
753,51.0
754,40.0
755,27.0
756,11.0
757,13.0
758,9.0
759,8.0
760,8.0
761,6.0
762,4.0
763,4.0
764,4.0
765,3.0
766,2.0
767,12.0
768,0.0
769,0.0
770,0.0
771,10.0
772,10.0
773,15.0
774,15.0
775,10.0
776,8.0
777,7.0
778,8.0
779,7.0
780,8.0
781,6.0
782,6.0
783,6.0
784,7.0
785,9.0
786,13.0
787,18.0
788,18.0
789,18.0
790,26.0
791,38.0
792,47.0
793,53.0
794,58.0
795,59.0
796,63.0
797,69.0
798,71.0
799,57.0
800,56.0
801,53.0
802,48.0
803,58.0
804,60.0
805,45.0
806,41.0
807,38.0
808,37.0
809,44.0
810,48.0
811,48.0
812,41.0
813,32.0
814,26.0
815,16.0
816,17.0
817,17.0
818,15.0
819,9.0
820,6.0
821,4.0
822,5.0
823,4.0
824,3.0
825,2.0
826,3.0
827,0.0
828,0.0
829,10.0
830,10.0
831,10.0
832,10.0
833,15.0
834,12.0
835,8.0
836,7.0
837,9.0
838,9.0
839,9.0
840,8.0
841,11.0
842,13.0
843,14.0
844,9.0
845,12.0
846,19.0
847,19.0
848,22.0
849,32.0
850,46.0
851,56.0
852,64.0
853,72.0
854,76.0
855,78.0
856,89.0
857,101.0
858,89.0
859,93.0
860,96.0
861,85.0
862,81.0
863,85.0
864,84.0
865,78.0
866,77.0
867,80.0
868,78.0
869,65.0
870,59.0
871,42.0
872,33.0
873,24.0
874,22.0
875,18.0
876,16.0
877,15.0
878,14.0
879,11.0
880,7.0
881,5.0
882,4.0
883,4.0
884,3.0
885,11.0
886,3.0
887,10.0
888,10.0
889,10.0
890,9.0
891,10.0
892,15.0
893,12.0
894,5.0
895,7.0
896,8.0
897,9.0
898,13.0
899,14.0
900,12.0
901,17.0
902,16.0
903,17.0
904,15.0
905,23.0
906,23.0
907,26.0
908,37.0
909,52.0
910,64.0
911,73.0
912,99.0
913,105.0
914,112.0
915,121.0
916,131.0
917,132.0
918,142.0
919,145.0
920,130.0
921,130.0
922,127.0
923,160.0
924,147.0
925,133.0
926,105.0
927,97.0
928,84.0
929,60.0
930,53.0
931,36.0
932,26.0
933,24.0
934,19.0
935,17.0
936,15.0
937,15.0
938,15.0
939,8.0
940,5.0
941,5.0
942,4.0
943,3.0
944,11.0
945,11.0
946,12.0
947,9.0
948,9.0
949,13.0
950,14.0
951,15.0
952,10.0
953,6.0
954,6.0
955,9.0
956,13.0
957,13.0
958,14.0
959,15.0
960,16.0
961,18.0
962,18.0
963,19.0
964,17.0
965,21.0
966,28.0
967,49.0
968,64.0
969,88.0
970,95.0
971,109.0
972,122.0
973,128.0
974,171.0
975,186.0
976,178.0
977,183.0
978,191.0
979,187.0
980,181.0
981,203.0
982,203.0
983,188.0
984,167.0
985,139.0
986,112.0
987,97.0
988,76.0
989,65.0
990,42.0
991,32.0
992,26.0
993,21.0
994,17.0
995,17.0
996,15.0
997,15.0
998,9.0
999,6.0
1000,5.0
1001,4.0
1002,3.0
1003,10.0
1004,11.0
1005,11.0
1006,11.0
1007,11.0
1008,11.0
1009,13.0
1010,13.0
1011,6.0
1012,6.0
1013,6.0
1014,8.0
1015,12.0
1016,14.0
1017,16.0
1018,11.0
1019,14.0
1020,18.0
1021,18.0
1022,20.0
1023,16.0
1024,22.0
1025,24.0
1026,45.0
1027,74.0
1028,96.0
1029,104.0
1030,122.0
1031,149.0
1032,182.0
1033,222.0
1034,242.0
1035,243.0
1036,280.0
1037,281.0
1038,270.0
1039,274.0
1040,263.0
1041,241.0
1042,207.0
1043,191.0
1044,161.0
1045,134.0
1046,115.0
1047,91.0
1048,61.0
1049,44.0
1050,34.0
1051,26.0
1052,21.0
1053,18.0
1054,15.0
1055,16.0
1056,16.0
1057,11.0
1058,9.0
1059,6.0
1060,5.0
1061,3.0
1062,3.0
1063,11.0
1064,11.0
1065,11.0
1066,11.0
1067,11.0
1068,13.0
1069,7.0
1070,5.0
1071,6.0
1072,7.0
1073,9.0
1074,13.0
1075,15.0
1076,17.0
1077,12.0
1078,19.0
1079,19.0
1080,19.0
1081,18.0
1082,20.0
1083,21.0
1084,35.0
1085,54.0
1086,105.0
1087,118.0
1088,127.0
1089,166.0
1090,217.0
1091,251.0
1092,290.0
1093,305.0
1094,334.0
1095,375.0
1096,386.0
1097,60.0
1098,68.0
1099,68.0
1100,280.0
1101,253.0
1102,224.0
1103,59.0
1104,146.0
1105,128.0
1106,101.0
1107,67.0
1108,55.0
1109,36.0
1110,24.0
1111,22.0
1112,18.0
1113,16.0
1114,15.0
1115,14.0
1116,10.0
1117,9.0
1118,7.0
1119,8.0
1120,2.0
1121,3.0
1122,3.0
1123,8.0
1124,11.0
1125,11.0
1126,8.0
1127,4.0
1128,5.0
1129,5.0
1130,7.0
1131,7.0
1132,9.0
1133,13.0
1134,15.0
1135,16.0
1136,15.0
1137,19.0
1138,20.0
1139,18.0
1140,20.0
1141,20.0
1142,26.0
1143,40.0
1144,69.0
1145,105.0
1146,139.0
1147,178.0
1148,219.0
1149,281.0
1150,335.0
1151,357.0
1152,394.0
1153,427.0
1154,455.0
1155,487.0
1156,489.0
1157,72.0
1158,80.0
1159,76.0
1160,317.0
1161,73.0
1162,210.0
1163,172.0
1164,149.0
1165,114.0
1166,71.0
1167,50.0
1168,38.0
1169,26.0
1170,22.0
1171,18.0
1172,19.0
1173,17.0
1174,12.0
1175,10.0
1176,10.0
1177,9.0
1178,9.0
1179,3.0
1180,1.0
1181,3.0
1182,3.0
1183,3.0
1184,3.0
1185,3.0
1186,3.0
1187,4.0
1188,4.0
1189,7.0
1190,7.0
1191,9.0
1192,10.0
1193,13.0
1194,15.0
1195,14.0
1196,18.0
1197,17.0
1198,18.0
1199,22.0
1200,23.0
1201,34.0
1202,61.0
1203,81.0
1204,119.0
1205,166.0
1206,215.0
1207,293.0
1208,342.0
1209,395.0
1210,59.0
1211,74.0
1212,93.0
1213,98.0
1214,95.0
1215,93.0
1216,85.0
1217,92.0
1218,420.0
1219,62.0
1220,316.0
1221,257.0
1222,183.0
1223,153.0
1224,125.0
1225,81.0
1226,61.0
1227,35.0
1228,23.0
1229,19.0
1230,20.0
1231,23.0
1232,20.0
1233,16.0
1234,14.0
1235,11.0
1236,9.0
1237,8.0
1238,8.0
1239,1.0
1240,1.0
1241,3.0
1242,3.0
1243,3.0
1244,3.0
1245,3.0
1246,2.0
1247,3.0
1248,4.0
1249,6.0
1250,7.0
1251,9.0
1252,12.0
1253,13.0
1254,15.0
1255,18.0
1256,20.0
1257,21.0
1258,21.0
1259,26.0
1260,46.0
1261,74.0
1262,104.0
1263,147.0
1264,219.0
1265,275.0
1266,342.0
1267,418.0
1268,507.0
1269,85.0
1270,104.0
1271,125.0
1272,140.0
1273,135.0
1274,119.0
1275,120.0
1276,96.0
1277,71.0
1278,407.0
1279,346.0
1280,293.0
1281,228.0
1282,166.0
1283,114.0
1284,81.0
1285,62.0
1286,41.0
1287,34.0
1288,25.0
1289,27.0
1290,23.0
1291,19.0
1292,19.0
1293,16.0
1294,14.0
1295,12.0
1296,9.0
1297,9.0
1298,0.0
1299,1.0
1300,1.0
1301,3.0
1302,3.0
1303,3.0
1304,1.0
1305,2.0
1306,2.0
1307,3.0
1308,5.0
1309,7.0
1310,6.0
1311,12.0
1312,14.0
1313,17.0
1314,18.0
1315,23.0
1316,24.0
1317,25.0
1318,47.0
1319,62.0
1320,106.0
1321,136.0
1322,192.0
1323,267.0
1324,353.0
1325,69.0
1326,70.0
1327,91.0
1328,99.0
1329,112.0
1330,139.0
1331,138.0
1332,166.0
1333,156.0
1334,125.0
1335,104.0
1336,90.0
1337,452.0
1338,379.0
1339,301.0
1340,263.0
1341,196.0
1342,140.0
1343,106.0
1344,88.0
1345,64.0
1346,43.0
1347,32.0
1348,23.0
1349,19.0
1350,17.0
1351,17.0
1352,17.0
1353,14.0
1354,14.0
1355,9.0
1356,8.0
1357,0.0
1358,0.0
1359,1.0
1360,1.0
1361,3.0
1362,1.0
1363,1.0
1364,1.0
1365,2.0
1366,4.0
1367,4.0
1368,5.0
1369,6.0
1370,6.0
1371,10.0
1372,11.0
1373,13.0
1374,12.0
1375,18.0
1376,37.0
1377,61.0
1378,82.0
1379,121.0
1380,180.0
1381,248.0
1382,322.0
1383,56.0
1384,90.0
1385,105.0
1386,126.0
1387,126.0
1388,137.0
1389,143.0
1390,149.0
1391,159.0
1392,164.0
1393,139.0
1394,115.0
1395,88.0
1396,472.0
1397,378.0
1398,305.0
1399,264.0
1400,204.0
1401,181.0
1402,135.0
1403,116.0
1404,100.0
1405,75.0
1406,42.0
1407,25.0
1408,17.0
1409,16.0
1410,16.0
1411,19.0
1412,14.0
1413,13.0
1414,12.0
1415,8.0
1416,0.0
1417,0.0
1418,0.0
1419,1.0
1420,1.0
1421,1.0
1422,1.0
1423,1.0
1424,2.0
1425,4.0
1426,4.0
1427,4.0
1428,6.0
1429,10.0
1430,10.0
1431,12.0
1432,12.0
1433,13.0
1434,26.0
1435,37.0
1436,69.0
1437,100.0
1438,142.0
1439,207.0
1440,48.0
1441,64.0
1442,79.0
1443,101.0
1444,129.0
1445,159.0
1446,174.0
1447,156.0
1448,160.0
1449,196.0
1450,195.0
1451,171.0
1452,791.0
1453,680.0
1454,559.0
1455,461.0
1456,383.0
1457,315.0
1458,292.0
1459,249.0
1460,198.0
1461,170.0
1462,124.0
1463,112.0
1464,100.0
1465,70.0
1466,28.0
1467,19.0
1468,17.0
1469,16.0
1470,19.0
1471,14.0
1472,13.0
1473,13.0
1474,7.0
1475,0.0
1476,1.0
1477,0.0
1478,0.0
1479,0.0
1480,0.0
1481,1.0
1482,2.0
1483,2.0
1484,3.0
1485,5.0
1486,5.0
1487,8.0
1488,13.0
1489,13.0
1490,15.0
1491,14.0
1492,18.0
1493,27.0
1494,38.0
1495,75.0
1496,123.0
1497,166.0
1498,235.0
1499,348.0
1500,72.0
1501,100.0
1502,136.0
1503,754.0
1504,180.0
1505,978.0
1506,208.0
1507,216.0
1508,228.0
1509,225.0
1510,178.0
1511,830.0
1512,712.0
1513,585.0
1514,445.0
1515,374.0
1516,325.0
1517,307.0
1518,261.0
1519,204.0
1520,175.0
1521,147.0
1522,115.0
1523,103.0
1524,101.0
1525,40.0
1526,21.0
1527,16.0
1528,17.0
1529,18.0
1530,13.0
1531,13.0
1532,12.0
1533,7.0
1534,1.0
1535,1.0
1536,1.0
1537,0.0
1538,0.0
1539,0.0
1540,1.0
1541,2.0
1542,3.0
1543,4.0
1544,4.0
1545,10.0
1546,11.0
1547,16.0
1548,19.0
1549,20.0
1550,18.0
1551,28.0
1552,31.0
1553,45.0
1554,77.0
1555,122.0
1556,179.0
1557,256.0
1558,370.0
1559,80.0
1560,110.0
1561,722.0
1562,812.0
1563,904.0
1564,1027.0
1565,236.0
1566,233.0
1567,1006.0
1568,950.0
1569,927.0
1570,834.0
1571,708.0
1572,623.0
1573,444.0
1574,357.0
1575,343.0
1576,318.0
1577,261.0
1578,206.0
1579,190.0
1580,157.0
1581,122.0
1582,103.0
1583,107.0
1584,53.0
1585,31.0
1586,21.0
1587,19.0
1588,15.0
1589,12.0
1590,11.0
1591,6.0
1592,6.0
1593,1.0
1594,1.0
1595,1.0
1596,2.0
1597,0.0
1598,1.0
1599,2.0
1600,2.0
1601,2.0
1602,4.0
1603,7.0
1604,9.0
1605,17.0
1606,21.0
1607,22.0
1608,23.0
1609,23.0
1610,32.0
1611,36.0
1612,47.0
1613,77.0
1614,126.0
1615,185.0
1616,280.0
1617,373.0
1618,490.0
1619,106.0
1620,136.0
1621,147.0
1622,927.0
1623,165.0
1624,181.0
1625,235.0
1626,990.0
1627,909.0
1628,869.0
1629,805.0
1630,712.0
1631,82.0
1632,75.0
1633,365.0
1634,331.0
1635,305.0
1636,250.0
1637,217.0
1638,199.0
1639,149.0
1640,119.0
1641,106.0
1642,105.0
1643,57.0
1644,39.0
1645,29.0
1646,21.0
1647,19.0
1648,15.0
1649,11.0
1650,6.0
1651,8.0
1652,1.0
1653,1.0
1654,2.0
1655,2.0
1656,2.0
1657,2.0
1658,2.0
1659,3.0
1660,3.0
1661,7.0
1662,13.0
1663,20.0
1664,27.0
1665,30.0
1666,33.0
1667,36.0
1668,31.0
1669,27.0
1670,39.0
1671,53.0
1672,93.0
1673,135.0
1674,195.0
1675,283.0
1676,64.0
1677,509.0
1678,106.0
1679,127.0
1680,148.0
1681,151.0
1682,138.0
1683,1027.0
1684,1002.0
1685,941.0
1686,224.0
1687,821.0
1688,753.0
1689,79.0
1690,69.0
1691,73.0
1692,354.0
1693,311.0
1694,295.0
1695,240.0
1696,213.0
1697,193.0
1698,142.0
1699,118.0
1700,106.0
1701,91.0
1702,45.0
1703,38.0
1704,33.0
1705,22.0
1706,18.0
1707,16.0
1708,10.0
1709,6.0
1710,6.0
1711,1.0
1712,2.0
1713,2.0
1714,2.0
1715,2.0
1716,2.0
1717,3.0
1718,3.0
1719,7.0
1720,9.0
1721,26.0
1722,31.0
1723,31.0
1724,32.0
1725,37.0
1726,40.0
1727,39.0
1728,37.0
1729,48.0
1730,59.0
1731,100.0
1732,161.0
1733,206.0
1734,284.0
1735,381.0
1736,79.0
1737,561.0
1738,121.0
1739,157.0
1740,792.0
1741,893.0
1742,115.0
1743,898.0
1744,841.0
1745,848.0
1746,788.0
1747,686.0
1748,82.0
1749,71.0
1750,52.0
1751,339.0
1752,303.0
1753,262.0
1754,218.0
1755,204.0
1756,181.0
1757,133.0
1758,112.0
1759,92.0
1760,68.0
1761,40.0
1762,33.0
1763,30.0
1764,17.0
1765,14.0
1766,13.0
1767,11.0
1768,6.0
1769,6.0
1770,1.0
1771,1.0
1772,1.0
1773,3.0
1774,2.0
1775,3.0
1776,3.0
1777,3.0
1778,7.0
1779,17.0
1780,29.0
1781,30.0
1782,32.0
1783,35.0
1784,38.0
1785,41.0
1786,48.0
1787,58.0
1788,63.0
1789,84.0
1790,125.0
1791,183.0
1792,218.0
1793,283.0
1794,71.0
1795,73.0
1796,93.0
1797,113.0
1798,594.0
1799,732.0
1800,119.0
1801,773.0
1802,750.0
1803,137.0
1804,718.0
1805,680.0
1806,77.0
1807,93.0
1808,85.0
1809,63.0
1810,37.0
1811,262.0
1812,215.0
1813,180.0
1814,178.0
1815,149.0
1816,116.0
1817,94.0
1818,66.0
1819,44.0
1820,35.0
1821,29.0
1822,27.0
1823,16.0
1824,13.0
1825,13.0
1826,9.0
1827,8.0
1828,5.0
1829,1.0
1830,1.0
1831,1.0
1832,3.0
1833,4.0
1834,3.0
1835,3.0
1836,4.0
1837,13.0
1838,18.0
1839,29.0
1840,30.0
1841,33.0
1842,21.0
1843,40.0
1844,48.0
1845,68.0
1846,72.0
1847,77.0
1848,95.0
1849,117.0
1850,172.0
1851,211.0
1852,258.0
1853,322.0
1854,72.0
1855,94.0
1856,98.0
1857,501.0
1858,604.0
1859,633.0
1860,629.0
1861,631.0
1862,645.0
1863,630.0
1864,607.0
1865,72.0
1866,100.0
1867,91.0
1868,60.0
1869,276.0
1870,226.0
1871,168.0
1872,130.0
1873,117.0
1874,108.0
1875,86.0
1876,68.0
1877,40.0
1878,40.0
1879,36.0
1880,31.0
1881,23.0
1882,14.0
1883,13.0
1884,13.0
1885,9.0
1886,8.0
1887,5.0
1888,1.0
1889,1.0
1890,4.0
1891,5.0
1892,5.0
1893,4.0
1894,3.0
1895,4.0
1896,11.0
1897,18.0
1898,27.0
1899,33.0
1900,38.0
1901,21.0
1902,47.0
1903,57.0
1904,77.0
1905,94.0
1906,96.0
1907,106.0
1908,122.0
1909,156.0
1910,193.0
1911,241.0
1912,281.0
1913,57.0
1914,78.0
1915,430.0
1916,449.0
1917,490.0
1918,516.0
1919,520.0
1920,510.0
1921,528.0
1922,548.0
1923,529.0
1924,458.0
1925,373.0
1926,316.0
1927,274.0
1928,241.0
1929,191.0
1930,145.0
1931,86.0
1932,73.0
1933,68.0
1934,64.0
1935,41.0
1936,38.0
1937,37.0
1938,33.0
1939,26.0
1940,21.0
1941,16.0
1942,13.0
1943,11.0
1944,8.0
1945,8.0
1946,5.0
1947,0.0
1948,4.0
1949,5.0
1950,5.0
1951,10.0
1952,15.0
1953,20.0
1954,19.0
1955,20.0
1956,21.0
1957,28.0
1958,34.0
1959,36.0
1960,46.0
1961,53.0
1962,74.0
1963,96.0
1964,107.0
1965,106.0
1966,115.0
1967,128.0
1968,150.0
1969,175.0
1970,218.0
1971,252.0
1972,268.0
1973,316.0
1974,350.0
1975,390.0
1976,418.0
1977,442.0
1978,422.0
1979,394.0
1980,409.0
1981,438.0
1982,462.0
1983,407.0
1984,78.0
1985,303.0
1986,253.0
1987,221.0
1988,175.0
1989,105.0
1990,65.0
1991,55.0
1992,53.0
1993,49.0
1994,30.0
1995,29.0
1996,29.0
1997,26.0
1998,23.0
1999,18.0
2000,16.0
2001,15.0
2002,12.0
2003,8.0
2004,5.0
2005,5.0
2006,4.0
2007,5.0
2008,5.0
2009,10.0
2010,19.0
2011,19.0
2012,19.0
2013,21.0
2014,26.0
2015,30.0
2016,34.0
2017,33.0
2018,40.0
2019,55.0
2020,75.0
2021,85.0
2022,114.0
2023,115.0
2024,106.0
2025,114.0
2026,122.0
2027,137.0
2028,152.0
2029,187.0
2030,235.0
2031,237.0
2032,243.0
2033,278.0
2034,306.0
2035,359.0
2036,377.0
2037,35.0
2038,329.0
2039,354.0
2040,398.0
2041,59.0
2042,362.0
2043,69.0
2044,284.0
2045,263.0
2046,203.0
2047,146.0
2048,72.0
2049,53.0
2050,48.0
2051,43.0
2052,28.0
2053,18.0
2054,18.0
2055,16.0
2056,19.0
2057,17.0
2058,15.0
2059,15.0
2060,14.0
2061,12.0
2062,9.0
2063,7.0
2064,5.0
2065,5.0
2066,5.0
2067,5.0
2068,19.0
2069,19.0
2070,19.0
2071,22.0
2072,23.0
2073,24.0
2074,28.0
2075,35.0
2076,32.0
2077,47.0
2078,64.0
2079,74.0
2080,79.0
2081,100.0
2082,108.0
2083,110.0
2084,118.0
2085,116.0
2086,125.0
2087,140.0
2088,168.0
2089,189.0
2090,188.0
2091,199.0
2092,207.0
2093,47.0
2094,274.0
2095,296.0
2096,323.0
2097,38.0
2098,35.0
2099,52.0
2100,61.0
2101,72.0
2102,63.0
2103,250.0
2104,232.0
2105,183.0
2106,106.0
2107,63.0
2108,47.0
2109,34.0
2110,27.0
2111,14.0
2112,13.0
2113,13.0
2114,12.0
2115,11.0
2116,12.0
2117,13.0
2118,10.0
2119,12.0
2120,9.0
2121,8.0
2122,7.0
2123,5.0
2124,5.0
2125,5.0
2126,8.0
2127,19.0
2128,19.0
2129,21.0
2130,22.0
2131,23.0
2132,23.0
2133,29.0
2134,33.0
2135,32.0
2136,56.0
