Grid_Number,Ban_n_Utilities
570,8.0
571,13.0
572,16.0
573,26.0
574,30.0
575,29.0
576,30.0
577,28.0
578,27.0
579,24.0
580,20.0
581,4.0
582,4.0
583,4.0
584,4.0
585,2.0
586,2.0
587,2.0
588,2.0
589,2.0
590,1.0
591,1.0
592,3.0
593,3.0
594,4.0
595,4.0
596,4.0
597,5.0
598,7.0
599,7.0
600,6.0
601,7.0
602,7.0
603,9.0
604,8.0
605,11.0
606,10.0
607,8.0
608,4.0
609,5.0
610,10.0
611,11.0
612,13.0
613,15.0
614,16.0
615,18.0
616,17.0
617,17.0
618,14.0
619,20.0
620,20.0
621,22.0
622,22.0
623,23.0
624,22.0
625,23.0
626,20.0
627,15.0
628,12.0
629,14.0
630,14.0
631,16.0
632,21.0
633,31.0
634,31.0
635,31.0
636,28.0
637,26.0
638,20.0
639,7.0
640,7.0
641,4.0
642,4.0
643,3.0
644,2.0
645,2.0
646,2.0
647,2.0
648,2.0
649,1.0
650,4.0
651,6.0
652,7.0
653,7.0
654,8.0
655,10.0
656,5.0
657,5.0
658,7.0
659,7.0
660,7.0
661,7.0
662,7.0
663,6.0
664,6.0
665,6.0
666,5.0
667,6.0
668,7.0
669,10.0
670,13.0
671,15.0
672,20.0
673,18.0
674,22.0
675,24.0
676,24.0
677,27.0
678,32.0
679,28.0
680,29.0
681,32.0
682,38.0
683,35.0
684,34.0
685,27.0
686,22.0
687,22.0
688,20.0
689,18.0
690,17.0
691,23.0
692,22.0
693,30.0
694,32.0
695,29.0
696,23.0
697,9.0
698,7.0
699,8.0
700,5.0
701,4.0
702,3.0
703,3.0
704,2.0
705,2.0
706,2.0
707,2.0
708,4.0
709,6.0
710,6.0
711,6.0
712,7.0
713,8.0
714,9.0
715,10.0
716,5.0
717,3.0
718,6.0
719,6.0
720,7.0
721,6.0
722,4.0
723,5.0
724,5.0
725,6.0
726,7.0
727,10.0
728,11.0
729,16.0
730,18.0
731,19.0
732,23.0
733,34.0
734,41.0
735,57.0
736,62.0
737,64.0
738,56.0
739,57.0
740,55.0
741,61.0
742,53.0
743,54.0
744,46.0
745,37.0
746,40.0
747,35.0
748,30.0
749,26.0
750,26.0
751,27.0
752,28.0
753,25.0
754,23.0
755,14.0
756,10.0
757,8.0
758,7.0
759,3.0
760,2.0
761,3.0
762,3.0
763,3.0
764,0.0
765,2.0
766,0.0
767,6.0
768,6.0
769,6.0
770,6.0
771,7.0
772,8.0
773,9.0
774,8.0
775,4.0
776,5.0
777,6.0
778,5.0
779,7.0
780,6.0
781,4.0
782,3.0
783,4.0
784,5.0
785,7.0
786,8.0
787,12.0
788,16.0
789,20.0
790,22.0
791,33.0
792,45.0
793,64.0
794,81.0
795,88.0
796,97.0
797,112.0
798,123.0
799,104.0
800,95.0
801,78.0
802,78.0
803,75.0
804,81.0
805,72.0
806,60.0
807,52.0
808,44.0
809,47.0
810,42.0
811,35.0
812,26.0
813,21.0
814,13.0
815,11.0
816,10.0
817,6.0
818,4.0
819,2.0
820,2.0
821,3.0
822,1.0
823,1.0
824,0.0
825,1.0
826,6.0
827,6.0
828,7.0
829,7.0
830,7.0
831,8.0
832,8.0
833,8.0
834,8.0
835,4.0
836,5.0
837,7.0
838,6.0
839,5.0
840,4.0
841,5.0
842,6.0
843,7.0
844,7.0
845,9.0
846,12.0
847,15.0
848,20.0
849,29.0
850,40.0
851,57.0
852,85.0
853,103.0
854,115.0
855,125.0
856,142.0
857,158.0
858,164.0
859,163.0
860,153.0
861,133.0
862,126.0
863,121.0
864,115.0
865,100.0
866,95.0
867,93.0
868,86.0
869,71.0
870,55.0
871,39.0
872,24.0
873,15.0
874,13.0
875,11.0
876,8.0
877,3.0
878,1.0
879,2.0
880,3.0
881,3.0
882,1.0
883,2.0
884,1.0
885,0.0
886,7.0
887,8.0
888,8.0
889,9.0
890,8.0
891,7.0
892,8.0
893,7.0
894,4.0
895,7.0
896,6.0
897,5.0
898,7.0
899,8.0
900,7.0
901,10.0
902,12.0
903,11.0
904,12.0
905,15.0
906,16.0
907,21.0
908,32.0
909,62.0
910,85.0
911,107.0
912,134.0
913,152.0
914,158.0
915,174.0
916,196.0
917,221.0
918,217.0
919,202.0
920,174.0
921,167.0
922,164.0
923,190.0
924,171.0
925,154.0
926,134.0
927,130.0
928,102.0
929,77.0
930,56.0
931,29.0
932,21.0
933,16.0
934,12.0
935,9.0
936,4.0
937,3.0
938,1.0
939,2.0
940,2.0
941,2.0
942,2.0
943,2.0
944,7.0
945,8.0
946,8.0
947,8.0
948,9.0
949,9.0
950,8.0
951,8.0
952,6.0
953,5.0
954,5.0
955,6.0
956,8.0
957,8.0
958,9.0
959,8.0
960,11.0
961,11.0
962,11.0
963,13.0
964,13.0
965,16.0
966,20.0
967,45.0
968,78.0
969,103.0
970,124.0
971,156.0
972,188.0
973,203.0
974,238.0
975,260.0
976,268.0
977,269.0
978,261.0
979,254.0
980,214.0
981,224.0
982,230.0
983,207.0
984,180.0
985,161.0
986,151.0
987,130.0
988,92.0
989,75.0
990,46.0
991,29.0
992,22.0
993,13.0
994,10.0
995,5.0
996,4.0
997,1.0
998,2.0
999,2.0
1000,2.0
1001,2.0
1002,1.0
1003,6.0
1004,7.0
1005,8.0
1006,8.0
1007,9.0
1008,9.0
1009,8.0
1010,8.0
1011,5.0
1012,5.0
1013,5.0
1014,5.0
1015,7.0
1016,8.0
1017,10.0
1018,9.0
1019,10.0
1020,11.0
1021,11.0
1022,13.0
1023,12.0
1024,17.0
1025,27.0
1026,55.0
1027,91.0
1028,116.0
1029,138.0
1030,180.0
1031,218.0
1032,267.0
1033,298.0
1034,342.0
1035,341.0
1036,348.0
1037,339.0
1038,330.0
1039,298.0
1040,288.0
1041,267.0
1042,239.0
1043,212.0
1044,181.0
1045,165.0
1046,148.0
1047,119.0
1048,81.0
1049,52.0
1050,31.0
1051,21.0
1052,16.0
1053,12.0
1054,6.0
1055,4.0
1056,4.0
1057,2.0
1058,2.0
1059,2.0
1060,1.0
1061,1.0
1062,2.0
1063,6.0
1064,7.0
1065,8.0
1066,9.0
1067,9.0
1068,0.0
1069,6.0
1070,5.0
1071,5.0
1072,5.0
1073,6.0
1074,4.0
1075,7.0
1076,9.0
1077,8.0
1078,10.0
1079,10.0
1080,12.0
1081,13.0
1082,18.0
1083,19.0
1084,37.0
1085,65.0
1086,117.0
1087,148.0
1088,186.0
1089,248.0
1090,303.0
1091,350.0
1092,395.0
1093,432.0
1094,430.0
1095,415.0
1096,417.0
1097,24.0
1098,15.0
1099,9.0
1100,335.0
1101,288.0
1102,244.0
1103,22.0
1104,177.0
1105,167.0
1106,137.0
1107,95.0
1108,65.0
1109,38.0
1110,24.0
1111,17.0
1112,11.0
1113,6.0
1114,5.0
1115,4.0
1116,3.0
1117,3.0
1118,1.0
1119,3.0
1120,3.0
1121,2.0
1122,2.0
1123,5.0
1124,6.0
1125,8.0
1126,6.0
1127,4.0
1128,3.0
1129,5.0
1130,5.0
1131,5.0
1132,6.0
1133,3.0
1134,4.0
1135,8.0
1136,8.0
1137,9.0
1138,10.0
1139,11.0
1140,17.0
1141,19.0
1142,24.0
1143,43.0
1144,80.0
1145,137.0
1146,193.0
1147,247.0
1148,319.0
1149,383.0
1150,439.0
1151,474.0
1152,504.0
1153,499.0
1154,505.0
1155,474.0
1156,490.0
1157,8.0
1158,11.0
1159,10.0
1160,363.0
1161,27.0
1162,232.0
1163,208.0
1164,185.0
1165,149.0
1166,100.0
1167,69.0
1168,48.0
1169,24.0
1170,14.0
1171,12.0
1172,10.0
1173,5.0
1174,4.0
1175,3.0
1176,4.0
1177,4.0
1178,4.0
1179,3.0
1180,2.0
1181,2.0
1182,2.0
1183,2.0
1184,2.0
1185,4.0
1186,3.0
1187,4.0
1188,3.0
1189,5.0
1190,5.0
1191,5.0
1192,4.0
1193,7.0
1194,8.0
1195,8.0
1196,9.0
1197,9.0
1198,12.0
1199,21.0
1200,23.0
1201,34.0
1202,64.0
1203,127.0
1204,178.0
1205,219.0
1206,293.0
1207,369.0
1208,448.0
1209,506.0
1210,11.0
1211,21.0
1212,27.0
1213,17.0
1214,20.0
1215,10.0
1216,12.0
1217,14.0
1218,442.0
1219,11.0
1220,364.0
1221,303.0
1222,226.0
1223,184.0
1224,155.0
1225,116.0
1226,75.0
1227,50.0
1228,21.0
1229,15.0
1230,12.0
1231,9.0
1232,5.0
1233,4.0
1234,4.0
1235,5.0
1236,5.0
1237,4.0
1238,0.0
1239,2.0
1240,3.0
1241,3.0
1242,3.0
1243,3.0
1244,3.0
1245,2.0
1246,3.0
1247,4.0
1248,4.0
1249,4.0
1250,4.0
1251,6.0
1252,6.0
1253,8.0
1254,9.0
1255,11.0
1256,12.0
1257,17.0
1258,27.0
1259,37.0
1260,60.0
1261,102.0
1262,171.0
1263,229.0
1264,293.0
1265,368.0
1266,414.0
1267,476.0
1268,553.0
1269,22.0
1270,16.0
1271,24.0
1272,31.0
1273,29.0
1274,25.0
1275,22.0
1276,20.0
1277,12.0
1278,408.0
1279,394.0
1280,339.0
1281,256.0
1282,186.0
1283,152.0
1284,116.0
1285,79.0
1286,58.0
1287,39.0
1288,24.0
1289,19.0
1290,14.0
1291,6.0
1292,5.0
1293,4.0
1294,5.0
1295,5.0
1296,5.0
1297,0.0
1298,0.0
1299,3.0
1300,3.0
1301,3.0
1302,3.0
1303,2.0
1304,2.0
1305,2.0
1306,2.0
1307,3.0
1308,3.0
1309,3.0
1310,3.0
1311,6.0
1312,9.0
1313,12.0
1314,14.0
1315,16.0
1316,27.0
1317,45.0
1318,63.0
1319,93.0
1320,166.0
1321,219.0
1322,283.0
1323,360.0
1324,457.0
1325,21.0
1326,20.0
1327,22.0
1328,48.0
1329,14.0
1330,19.0
1331,30.0
1332,23.0
1333,16.0
1334,24.0
1335,30.0
1336,29.0
1337,419.0
1338,392.0
1339,333.0
1340,277.0
1341,210.0
1342,139.0
1343,112.0
1344,89.0
1345,57.0
1346,45.0
1347,32.0
1348,22.0
1349,13.0
1350,12.0
1351,5.0
1352,7.0
1353,4.0
1354,5.0
1355,5.0
1356,5.0
1357,2.0
1358,0.0
1359,3.0
1360,2.0
1361,2.0
1362,2.0
1363,2.0
1364,2.0
1365,2.0
1366,3.0
1367,3.0
1368,3.0
1369,4.0
1370,4.0
1371,8.0
1372,9.0
1373,17.0
1374,21.0
1375,33.0
1376,63.0
1377,90.0
1378,127.0
1379,196.0
1380,276.0
1381,323.0
1382,384.0
1383,37.0
1384,20.0
1385,14.0
1386,16.0
1387,39.0
1388,14.0
1389,13.0
1390,20.0
1391,16.0
1392,16.0
1393,18.0
1394,26.0
1395,44.0
1396,421.0
1397,374.0
1398,315.0
1399,262.0
1400,187.0
1401,154.0
1402,127.0
1403,102.0
1404,73.0
1405,49.0
1406,36.0
1407,25.0
1408,16.0
1409,12.0
1410,6.0
1411,7.0
1412,7.0
1413,5.0
1414,5.0
1415,5.0
1416,2.0
1417,2.0
1418,2.0
1419,2.0
1420,2.0
1421,2.0
1422,2.0
1423,2.0
1424,2.0
1425,3.0
1426,3.0
1427,3.0
1428,4.0
1429,10.0
1430,10.0
1431,14.0
1432,23.0
1433,30.0
1434,49.0
1435,72.0
1436,107.0
1437,155.0
1438,225.0
1439,304.0
1440,11.0
1441,11.0
1442,26.0
1443,10.0
1444,18.0
1445,21.0
1446,30.0
1447,17.0
1448,23.0
1449,11.0
1450,11.0
1451,20.0
1452,597.0
1453,473.0
1454,446.0
1455,415.0
1456,360.0
1457,301.0
1458,236.0
1459,199.0
1460,166.0
1461,141.0
1462,105.0
1463,85.0
1464,66.0
1465,38.0
1466,26.0
1467,16.0
1468,10.0
1469,10.0
1470,6.0
1471,7.0
1472,7.0
1473,6.0
1474,5.0
1475,2.0
1476,2.0
1477,2.0
1478,2.0
1479,2.0
1480,2.0
1481,2.0
1482,2.0
1483,3.0
1484,3.0
1485,3.0
1486,4.0
1487,9.0
1488,13.0
1489,12.0
1490,19.0
1491,31.0
1492,40.0
1493,56.0
1494,76.0
1495,121.0
1496,178.0
1497,253.0
1498,344.0
1499,426.0
1500,25.0
1501,32.0
1502,22.0
1503,684.0
1504,20.0
1505,667.0
1506,18.0
1507,70.0
1508,36.0
1509,15.0
1510,22.0
1511,604.0
1512,498.0
1513,451.0
1514,408.0
1515,350.0
1516,301.0
1517,253.0
1518,210.0
1519,178.0
1520,146.0
1521,115.0
1522,83.0
1523,63.0
1524,56.0
1525,29.0
1526,17.0
1527,11.0
1528,11.0
1529,6.0
1530,7.0
1531,7.0
1532,6.0
1533,4.0
1534,2.0
1535,2.0
1536,2.0
1537,2.0
1538,2.0
1539,2.0
1540,2.0
1541,3.0
1542,2.0
1543,3.0
1544,5.0
1545,6.0
1546,11.0
1547,18.0
1548,19.0
1549,27.0
1550,39.0
1551,50.0
1552,59.0
1553,83.0
1554,127.0
1555,184.0
1556,270.0
1557,359.0
1558,441.0
1559,25.0
1560,28.0
1561,624.0
1562,690.0
1563,725.0
1564,676.0
1565,12.0
1566,33.0
1567,580.0
1568,562.0
1569,586.0
1570,571.0
1571,501.0
1572,450.0
1573,402.0
1574,346.0
1575,287.0
1576,268.0
1577,207.0
1578,179.0
1579,158.0
1580,121.0
1581,85.0
1582,73.0
1583,64.0
1584,40.0
1585,20.0
1586,13.0
1587,8.0
1588,6.0
1589,6.0
1590,5.0
1591,5.0
1592,4.0
1593,0.0
1594,2.0
1595,2.0
1596,2.0
1597,2.0
1598,2.0
1599,3.0
1600,2.0
1601,2.0
1602,5.0
1603,8.0
1604,11.0
1605,17.0
1606,24.0
1607,28.0
1608,36.0
1609,45.0
1610,52.0
1611,67.0
1612,87.0
1613,133.0
1614,195.0
1615,291.0
1616,382.0
1617,457.0
1618,528.0
1619,15.0
1620,13.0
1621,15.0
1622,666.0
1623,17.0
1624,12.0
1625,14.0
1626,557.0
1627,541.0
1628,541.0
1629,542.0
1630,472.0
1631,27.0
1632,13.0
1633,330.0
1634,295.0
1635,275.0
1636,217.0
1637,181.0
1638,153.0
1639,108.0
1640,83.0
1641,77.0
1642,62.0
1643,43.0
1644,22.0
1645,16.0
1646,8.0
1647,7.0
1648,5.0
1649,4.0
1650,4.0
1651,3.0
1652,0.0
1653,0.0
1654,2.0
1655,2.0
1656,2.0
1657,3.0
1658,4.0
1659,2.0
1660,3.0
1661,6.0
1662,8.0
1663,21.0
1664,27.0
1665,28.0
1666,38.0
1667,44.0
1668,50.0
1669,54.0
1670,74.0
1671,96.0
1672,134.0
1673,206.0
1674,316.0
1675,378.0
1676,11.0
1677,536.0
1678,34.0
1679,22.0
1680,17.0
1681,10.0
1682,14.0
1683,608.0
1684,576.0
1685,566.0
1686,31.0
1687,531.0
1688,463.0
1689,11.0
1690,12.0
1691,15.0
1692,317.0
1693,293.0
1694,256.0
1695,212.0
1696,162.0
1697,142.0
1698,103.0
1699,84.0
1700,73.0
1701,63.0
1702,43.0
1703,24.0
1704,14.0
1705,12.0
1706,10.0
1707,9.0
1708,6.0
1709,3.0
1710,2.0
1711,1.0
1712,1.0
1713,2.0
1714,2.0
1715,4.0
1716,3.0
1717,3.0
1718,3.0
1719,4.0
1720,6.0
1721,13.0
1722,27.0
1723,27.0
1724,29.0
1725,39.0
1726,46.0
1727,57.0
1728,71.0
1729,90.0
1730,111.0
1731,156.0
1732,224.0
1733,319.0
1734,406.0
1735,478.0
1736,23.0
1737,578.0
1738,28.0
1739,31.0
1740,589.0
1741,609.0
1742,10.0
1743,548.0
1744,543.0
1745,552.0
1746,501.0
1747,443.0
1748,22.0
1749,19.0
1750,14.0
1751,333.0
1752,301.0
1753,235.0
1754,196.0
1755,157.0
1756,132.0
1757,98.0
1758,84.0
1759,70.0
1760,60.0
1761,39.0
1762,18.0
1763,16.0
1764,13.0
1765,11.0
1766,8.0
1767,6.0
1768,5.0
1769,3.0
1770,1.0
1771,1.0
1772,1.0
1773,3.0
1774,4.0
1775,5.0
1776,5.0
1777,5.0
1778,6.0
1779,11.0
1780,22.0
1781,28.0
1782,30.0
1783,31.0
1784,33.0
1785,45.0
1786,69.0
1787,79.0
1788,89.0
1789,123.0
1790,170.0
1791,241.0
1792,301.0
1793,374.0
1794,19.0
1795,24.0
1796,16.0
1797,10.0
1798,520.0
1799,550.0
1800,38.0
1801,483.0
1802,469.0
1803,43.0
1804,474.0
1805,477.0
1806,15.0
1807,19.0
1808,8.0
1809,14.0
1810,8.0
1811,257.0
1812,201.0
1813,171.0
1814,144.0
1815,117.0
1816,90.0
1817,70.0
1818,62.0
1819,48.0
1820,29.0
1821,18.0
1822,16.0
1823,12.0
1824,10.0
1825,9.0
1826,7.0
1827,5.0
1828,2.0
1829,1.0
1830,1.0
1831,3.0
1832,4.0
1833,5.0
1834,5.0
1835,5.0
1836,5.0
1837,10.0
1838,13.0
1839,24.0
1840,28.0
1841,29.0
1842,4.0
1843,39.0
1844,52.0
1845,77.0
1846,83.0
1847,99.0
1848,129.0
1849,176.0
1850,236.0
1851,304.0
1852,350.0
1853,405.0
1854,23.0
1855,29.0
1856,30.0
1857,498.0
1858,533.0
1859,513.0
1860,466.0
1861,460.0
1862,493.0
1863,501.0
1864,490.0
1865,11.0
1866,25.0
1867,22.0
1868,14.0
1869,302.0
1870,257.0
1871,180.0
1872,144.0
1873,119.0
1874,103.0
1875,81.0
1876,64.0
1877,54.0
1878,36.0
1879,21.0
1880,19.0
1881,17.0
1882,12.0
1883,9.0
1884,8.0
1885,6.0
1886,6.0
1887,4.0
1888,1.0
1889,2.0
1890,4.0
1891,5.0
1892,5.0
1893,5.0
1894,5.0
1895,7.0
1896,10.0
1897,20.0
1898,27.0
1899,26.0
1900,30.0
1901,9.0
1902,42.0
1903,60.0
1904,79.0
1905,94.0
1906,108.0
1907,142.0
1908,167.0
1909,220.0
1910,275.0
1911,312.0
1912,370.0
1913,10.0
1914,27.0
1915,463.0
1916,457.0
1917,495.0
1918,473.0
1919,453.0
1920,444.0
1921,479.0
1922,484.0
1923,494.0
1924,475.0
1925,420.0
1926,340.0
1927,313.0
1928,287.0
1929,227.0
1930,168.0
1931,117.0
1932,87.0
1933,78.0
1934,63.0
1935,45.0
1936,44.0
1937,28.0
1938,20.0
1939,18.0
1940,15.0
1941,11.0
1942,9.0
1943,8.0
1944,6.0
1945,6.0
1946,5.0
1947,1.0
1948,4.0
1949,5.0
1950,5.0
1951,5.0
1952,6.0
1953,8.0
1954,11.0
1955,12.0
1956,14.0
1957,24.0
1958,27.0
1959,31.0
1960,38.0
1961,48.0
1962,72.0
1963,88.0
1964,106.0
1965,112.0
1966,131.0
1967,164.0
1968,202.0
1969,249.0
1970,303.0
1971,316.0
1972,344.0
1973,377.0
1974,398.0
1975,415.0
1976,433.0
1977,459.0
1978,439.0
1979,422.0
1980,407.0
1981,434.0
1982,482.0
1983,458.0
1984,14.0
1985,326.0
1986,289.0
1987,244.0
1988,199.0
1989,149.0
1990,96.0
1991,75.0
1992,66.0
1993,50.0
1994,37.0
1995,29.0
1996,21.0
1997,19.0
1998,18.0
1999,14.0
2000,13.0
2001,10.0
2002,9.0
2003,6.0
2004,5.0
2005,4.0
2006,2.0
2007,4.0
2008,5.0
2009,6.0
2010,7.0
2011,8.0
2012,11.0
2013,14.0
2014,15.0
2015,16.0
2016,24.0
2017,27.0
2018,29.0
2019,39.0
2020,60.0
2021,88.0
2022,98.0
2023,116.0
2024,107.0
2025,136.0
2026,151.0
2027,170.0
2028,206.0
2029,251.0
2030,288.0
2031,302.0
2032,300.0
2033,307.0
2034,337.0
2035,401.0
2036,406.0
2037,9.0
2038,399.0
2039,375.0
2040,418.0
2041,21.0
2042,412.0
2043,10.0
2044,308.0
2045,263.0
2046,220.0
2047,172.0
2048,124.0
2049,93.0
2050,57.0
2051,50.0
2052,29.0
2053,21.0
2054,14.0
2055,14.0
2056,16.0
2057,13.0
2058,13.0
2059,13.0
2060,10.0
2061,8.0
2062,8.0
2063,6.0
2064,4.0
2065,2.0
2066,4.0
2067,4.0
2068,7.0
2069,10.0
2070,8.0
2071,11.0
2072,14.0
2073,14.0
2074,17.0
2075,16.0
2076,23.0
2077,36.0
2078,47.0
2079,64.0
2080,85.0
2081,94.0
2082,108.0
2083,110.0
2084,121.0
2085,145.0
2086,157.0
2087,172.0
2088,199.0
2089,239.0
2090,254.0
2091,261.0
2092,259.0
2093,19.0
2094,331.0
2095,343.0
2096,361.0
2097,20.0
2098,26.0
2099,19.0
2100,15.0
2101,11.0
2102,16.0
2103,286.0
2104,249.0
2105,185.0
2106,143.0
2107,108.0
2108,73.0
2109,40.0
2110,34.0
2111,20.0
2112,10.0
2113,9.0
2114,9.0
2115,9.0
2116,11.0
2117,12.0
2118,14.0
2119,9.0
2120,7.0
2121,7.0
2122,6.0
2123,4.0
2124,2.0
2125,2.0
2126,5.0
2127,7.0
2128,10.0
2129,11.0
2130,11.0
2131,12.0
2132,14.0
2133,16.0
2134,16.0
2135,16.0
2136,38.0
