Grid_Number,Del_popu_Government_Facilities
804,17584.0
805,16583.0
806,20461.0
807,20461.0
808,20115.0
809,-1.0
810,10799.0
811,3424.0
812,36156.0
813,19014.0
814,14191.0
815,4544.0
816,4544.0
817,11947.0
818,11947.0
819,-1.0
820,4942.0
821,-1.0
822,-1.0
823,20512.0
824,20512.0
825,20512.0
826,27372.0
827,27372.0
828,-1.0
829,7727.0
830,7727.0
831,-1.0
832,-1.0
833,-1.0
834,9839.0
835,11409.0
836,5964.0
837,1657.0
838,5119.0
839,2900.0
840,2506.0
841,3531.0
842,5688.0
843,5615.0
844,6791.0
845,6791.0
846,6966.0
847,6966.0
848,9384.0
849,10573.0
850,396.0
851,2833.0
852,22066.0
853,7850.0
854,23826.0
855,9309.0
856,20115.0
857,20115.0
858,-1.0
859,10799.0
860,10799.0
861,12121.0
862,19014.0
863,19014.0
864,4544.0
865,4544.0
866,5198.0
867,5240.0
868,4942.0
869,4942.0
870,4942.0
871,-1.0
872,20512.0
873,20512.0
874,20512.0
875,-1.0
876,-1.0
877,-1.0
878,7727.0
879,7727.0
880,-1.0
881,-1.0
882,-1.0
883,3251.0
884,3690.0
885,2460.0
886,1494.0
887,4083.0
888,1963.0
889,3013.0
890,1816.0
891,1930.0
892,8179.0
893,6839.0
894,6791.0
895,6791.0
896,6966.0
897,6966.0
898,1426.0
899,3660.0
900,3443.0
901,2706.0
902,7850.0
903,10753.0
904,14019.0
905,14391.0
906,24870.0
907,24870.0
908,19568.0
909,19568.0
910,19568.0
911,4018.0
912,4018.0
913,4613.0
914,6614.0
915,6614.0
916,5240.0
917,4942.0
918,4942.0
919,4942.0
920,1253.0
921,3179.0
922,3179.0
923,3179.0
924,-1.0
925,-1.0
926,-1.0
927,1545.0
928,1545.0
929,-1.0
930,-1.0
931,3251.0
932,3251.0
933,6170.0
934,3338.0
935,2999.0
936,1735.0
937,3337.0
938,4359.0
939,3175.0
940,3003.0
941,1022.0
942,6839.0
943,6791.0
944,6791.0
945,6966.0
946,6966.0
947,1426.0
948,6520.0
949,4937.0
950,5339.0
951,5823.0
952,2326.0
953,3481.0
954,9454.0
955,14076.0
956,24870.0
957,16319.0
958,24368.0
959,24368.0
960,7936.0
961,7936.0
962,4613.0
963,16752.0
964,16752.0
965,6614.0
966,4942.0
967,4942.0
968,1253.0
969,1253.0
970,7013.0
971,3179.0
972,3179.0
973,-1.0
974,-1.0
975,-1.0
976,1545.0
977,1545.0
978,-1.0
979,-1.0
980,-1.0
981,4668.0
982,6170.0
983,3670.0
984,4420.0
985,5655.0
986,953.0
987,1186.0
988,3823.0
989,5494.0
990,1550.0
991,7298.0
992,4713.0
993,4713.0
994,10285.0
995,4131.0
996,3317.0
997,2520.0
998,6618.0
999,5879.0
1000,7595.0
1001,3568.0
1002,1261.0
1003,3239.0
1004,8207.0
1005,16319.0
1006,9150.0
1007,28538.0
1008,9184.0
1009,4927.0
1010,7555.0
1011,5177.0
1012,14177.0
1013,14177.0
1014,16752.0
1015,12998.0
1016,12998.0
1017,1253.0
1018,1253.0
1019,1022.0
1020,2798.0
1021,3405.0
1022,3405.0
1023,-1.0
1024,-1.0
1025,-1.0
1026,-1.0
1027,-1.0
1028,-1.0
1029,-1.0
1030,1347.0
1031,3523.0
1032,1558.0
1033,1235.0
1034,3834.0
1035,1146.0
1036,434.0
1037,736.0
1038,6267.0
1039,6267.0
1040,3704.0
1041,10380.0
1042,7648.0
1043,10285.0
1044,7614.0
1045,3317.0
1046,10261.0
1047,2782.0
1048,1486.0
1049,7641.0
1050,3924.0
1051,1041.0
1052,4158.0
1053,6339.0
1054,9995.0
1055,9150.0
1056,14676.0
1057,6323.0
1058,2033.0
1059,3909.0
1060,1585.0
1061,9005.0
1062,8497.0
1063,3.0
1064,12998.0
1065,12998.0
1066,18959.0
1067,47568.0
1068,9590.0
1069,8837.0
1070,3405.0
1071,3405.0
1072,-1.0
1073,-1.0
1074,-1.0
1075,-1.0
1076,-1.0
1077,-1.0
1078,-1.0
1079,9421.0
1080,3723.0
1081,2489.0
1082,3043.0
1083,2069.0
1084,2091.0
1085,1710.0
1086,2118.0
1087,1341.0
1088,5028.0
1089,3044.0
1090,7648.0
1091,5490.0
1092,6004.0
1093,2370.0
1094,5402.0
1095,2630.0
1096,3101.0
1097,1017.0
1098,1209.0
1099,4456.0
1100,2537.0
1101,5658.0
1102,7021.0
1103,16487.0
1104,11193.0
1105,5360.0
1106,9988.0
1107,1591.0
1108,3409.0
1109,5698.0
1110,12506.0
1111,8497.0
1112,3.0
1113,900.0
1114,14115.0
1115,18959.0
1116,47568.0
1117,38480.0
1118,7811.0
1119,4069.0
1120,2679.0
