Grid_Number,Connectivity
2139,1.0
2140,0.0
2141,13.0
2142,10.0
2143,9.0
2144,7.0
2145,8.0
2146,6.0
2147,4.0
2148,5.0
2149,5.0
2150,2.0
2151,2.0
2152,3.0
2153,3.0
2154,0.0
2155,2.0
2156,30.0
2157,32.0
2158,33.0
2159,35.0
2160,34.0
2161,27.0
2162,25.0
2163,22.0
2164,25.0
2165,30.0
2166,37.0
2167,1.0
2168,1.0
2169,1.0
2170,2.0
2171,1.0
2172,1.0
2173,73.0
2174,74.0
2175,73.0
2176,74.0
2177,1.0
2178,0.0
2179,1.0
2180,0.0
2181,2.0
2182,0.0
2183,3.0
2184,2.0
2185,0.0
2186,1.0
2187,1.0
2188,0.0
2189,0.0
2190,14.0
2191,13.0
2192,9.0
2193,9.0
2194,8.0
2195,6.0
2196,6.0
2197,5.0
2198,4.0
2199,6.0
2200,0.0
2201,3.0
2202,3.0
2203,3.0
2204,2.0
2205,38.0
2206,40.0
2207,35.0
2208,33.0
2209,40.0
2210,34.0
2211,27.0
2212,25.0
2213,24.0
2214,28.0
2215,1.0
2216,2.0
2217,2.0
2218,1.0
2219,63.0
2220,1.0
2221,0.0
2222,75.0
2223,71.0
2224,68.0
2225,66.0
2226,0.0
2227,0.0
2228,0.0
2229,0.0
2230,0.0
2231,1.0
2232,0.0
2233,2.0
2234,0.0
2235,1.0
2236,0.0
2237,23.0
2238,18.0
2239,14.0
2240,12.0
2241,9.0
2242,9.0
2243,6.0
2244,5.0
2245,6.0
2246,5.0
2247,4.0
2248,4.0
2249,4.0
2250,0.0
2251,3.0
2252,3.0
2253,3.0
2254,39.0
2255,43.0
2256,35.0
2257,38.0
2258,35.0
2259,35.0
2260,33.0
2261,27.0
2262,24.0
2263,1.0
2264,4.0
2265,3.0
2266,1.0
2267,1.0
2268,0.0
2269,1.0
2270,70.0
2271,70.0
2272,72.0
2273,59.0
2274,0.0
2275,1.0
2276,1.0
2277,0.0
2278,1.0
2279,1.0
2280,1.0
2281,2.0
2282,1.0
2283,1.0
2284,0.0
2285,36.0
2286,27.0
2287,17.0
2288,13.0
2289,11.0
2290,8.0
2291,8.0
2292,7.0
2293,5.0
2294,5.0
2295,5.0
2296,3.0
2297,4.0
2298,4.0
2299,4.0
2300,3.0
2301,3.0
2302,3.0
2303,40.0
2304,32.0
2305,35.0
2306,38.0
2307,35.0
2308,41.0
2309,34.0
2310,25.0
2311,22.0
2312,1.0
2313,4.0
2314,2.0
2315,1.0
2316,1.0
2317,1.0
2318,60.0
2319,60.0
2320,64.0
2321,66.0
2322,55.0
2323,0.0
2324,1.0
2325,2.0
2326,1.0
2327,1.0
2328,2.0
2329,1.0
2330,2.0
2331,1.0
2332,1.0
2333,2.0
2334,2.0
2335,28.0
2336,17.0
2337,13.0
2338,12.0
2339,8.0
2340,7.0
2341,6.0
2342,4.0
2343,5.0
2344,4.0
2345,3.0
2346,4.0
2347,4.0
2348,4.0
2349,3.0
2350,3.0
2351,3.0
2352,40.0
2353,32.0
2354,33.0
2355,35.0
2356,35.0
2357,40.0
2358,32.0
2359,24.0
2360,22.0
2361,22.0
2362,1.0
2363,35.0
2364,0.0
2365,0.0
2366,46.0
2367,48.0
2368,51.0
2369,56.0
2370,57.0
2371,51.0
2372,1.0
2373,1.0
2374,1.0
2375,2.0
2376,66.0
2377,2.0
2378,1.0
2379,3.0
2380,5.0
2381,4.0
2382,1.0
2383,1.0
2384,22.0
2385,17.0
2386,13.0
2387,11.0
2388,7.0
2389,6.0
2390,6.0
2391,4.0
2392,4.0
2393,4.0
2394,3.0
2395,4.0
2396,4.0
2397,4.0
2398,3.0
2399,3.0
2400,2.0
2401,37.0
2402,30.0
2403,30.0
2404,30.0
2405,33.0
2406,39.0
2407,30.0
2408,23.0
2409,21.0
2410,21.0
2411,0.0
2412,0.0
2413,40.0
2414,41.0
2415,40.0
2416,42.0
2417,42.0
2418,50.0
2419,51.0
2420,49.0
2421,2.0
2422,0.0
2423,0.0
2424,56.0
2425,58.0
2426,56.0
2427,48.0
2428,50.0
2429,48.0
2430,39.0
2431,36.0
2432,27.0
2433,21.0
2434,13.0
2435,9.0
2436,9.0
2437,6.0
2438,6.0
2439,5.0
2440,4.0
2441,4.0
2442,4.0
2443,3.0
2444,3.0
2445,4.0
2446,3.0
2447,3.0
2448,3.0
2449,2.0
2450,33.0
2451,26.0
2452,26.0
2453,27.0
2454,28.0
2455,33.0
2456,23.0
2457,20.0
2458,15.0
2459,20.0
2460,22.0
2461,28.0
2462,36.0
2463,32.0
2464,34.0
2465,31.0
2466,39.0
2467,45.0
2468,44.0
2469,45.0
2470,49.0
2471,1.0
2472,0.0
2473,46.0
2474,49.0
2475,47.0
2476,43.0
2477,40.0
2478,40.0
2479,33.0
2480,28.0
2481,26.0
2482,18.0
2483,11.0
2484,9.0
2485,7.0
2486,6.0
2487,5.0
2488,4.0
2489,4.0
2490,4.0
2491,4.0
2492,3.0
2493,3.0
2494,3.0
2495,3.0
2496,3.0
2497,2.0
2498,2.0
