Grid_Number,Ban_popu_Education
185,604.0
186,2376.0
187,2376.0
188,1694.0
189,1425.0
190,1666.0
191,1666.0
192,824.0
193,1071.0
194,480.0
195,878.0
196,2367.0
197,2367.0
198,500.0
199,486.0
200,64.0
201,174.0
202,455.0
203,62.0
204,814.0
205,814.0
206,1253.0
207,1253.0
208,261.0
209,261.0
210,261.0
211,-1.0
212,-1.0
213,696.0
214,696.0
215,0.0
216,246.0
217,97.0
218,186.0
219,4025.0
220,2080.0
221,719.0
222,1904.0
223,1904.0
224,1220.0
225,1181.0
226,5123.0
227,1573.0
228,102.0
229,350.0
230,39.0
231,0.0
232,449.0
233,449.0
234,220.0
235,-1.0
236,-1.0
237,-1.0
238,-1.0
239,-1.0
240,-1.0
241,340.0
242,340.0
243,604.0
244,2228.0
245,1983.0
246,1983.0
247,1328.0
248,987.0
249,1666.0
250,1351.0
251,1062.0
252,1071.0
253,480.0
254,878.0
255,420.0
256,371.0
257,110.0
258,166.0
259,64.0
260,0.0
261,0.0
262,62.0
263,62.0
264,40.0
265,31.0
266,31.0
267,261.0
268,261.0
269,261.0
270,-1.0
271,51.0
272,368.0
273,368.0
274,0.0
275,99.0
276,97.0
277,0.0
278,1171.0
279,2435.0
280,2777.0
281,768.0
282,287.0
283,1662.0
284,4751.0
285,5123.0
286,1573.0
287,127.0
288,0.0
289,1111.0
290,0.0
291,408.0
292,449.0
293,-1.0
294,-1.0
295,-1.0
296,-1.0
297,1088.0
298,1088.0
299,1076.0
300,615.0
301,615.0
302,826.0
303,2228.0
304,1983.0
305,1983.0
306,1328.0
307,846.0
308,1404.0
309,737.0
310,342.0
311,1071.0
312,822.0
313,420.0
314,420.0
315,174.0
316,291.0
317,56.0
318,50.0
319,48.0
320,48.0
321,66.0
322,40.0
323,29.0
324,29.0
325,6.0
326,42.0
327,261.0
328,261.0
329,635.0
330,51.0
331,51.0
332,75.0
333,0.0
334,142.0
335,789.0
336,789.0
337,2435.0
338,230.0
339,718.0
340,768.0
341,1787.0
342,2738.0
343,829.0
344,659.0
345,3397.0
346,0.0
347,175.0
348,1111.0
349,0.0
350,1093.0
351,1093.0
352,-1.0
353,-1.0
354,-1.0
355,1088.0
356,1088.0
357,1076.0
358,558.0
359,615.0
360,807.0
361,826.0
362,2228.0
363,915.0
364,416.0
365,776.0
366,491.0
367,227.0
368,1292.0
369,355.0
370,289.0
371,593.0
372,1837.0
373,60.0
374,864.0
375,645.0
376,296.0
377,296.0
378,48.0
379,48.0
380,43.0
381,16.0
382,16.0
383,6.0
384,6.0
385,42.0
386,73.0
387,635.0
388,635.0
389,51.0
390,51.0
391,0.0
392,29.0
393,142.0
394,189.0
395,382.0
396,127.0
397,127.0
398,615.0
399,1364.0
400,264.0
401,2440.0
402,2099.0
403,2099.0
404,3397.0
405,3397.0
406,3168.0
407,175.0
408,3111.0
409,2894.0
410,2894.0
411,-1.0
412,-1.0
413,-1.0
414,-1.0
415,483.0
416,178.0
417,558.0
418,827.0
419,1271.0
420,1271.0
421,1441.0
422,1441.0
423,2002.0
424,491.0
425,142.0
426,630.0
427,316.0
428,518.0
429,251.0
430,735.0
431,1837.0
432,2445.0
433,2445.0
434,645.0
435,2477.0
436,2477.0
437,81.0
438,0.0
439,43.0
440,8.0
441,16.0
442,10.0
443,6.0
444,4.0
445,73.0
446,44.0
447,635.0
448,635.0
449,1368.0
450,0.0
451,175.0
452,175.0
453,987.0
454,832.0
455,456.0
456,273.0
457,2411.0
458,306.0
459,529.0
460,57.0
461,1064.0
462,2521.0
463,2216.0
464,3168.0
465,3168.0
466,3168.0
467,3111.0
468,3111.0
469,604.0
470,-1.0
471,-1.0
472,526.0
473,526.0
474,470.0
475,154.0
476,817.0
477,827.0
478,740.0
479,2083.0
480,1441.0
481,2002.0
482,2002.0
483,390.0
484,503.0
485,1082.0
486,1228.0
487,518.0
488,634.0
489,815.0
490,861.0
491,1230.0
492,577.0
493,1450.0
494,2477.0
495,98.0
496,98.0
497,28.0
498,63.0
499,52.0
500,15.0
501,10.0
502,32.0
503,4.0
504,198.0
505,2.0
506,1250.0
507,1250.0
508,1368.0
509,1368.0
510,175.0
511,0.0
512,987.0
513,154.0
514,15.0
515,891.0
516,977.0
517,483.0
518,269.0
519,309.0
520,50.0
521,1596.0
522,2216.0
523,518.0
524,2224.0
525,1395.0
526,889.0
527,889.0
528,1998.0
529,604.0
530,-1.0
531,-1.0
532,929.0
533,929.0
534,452.0
535,704.0
536,223.0
537,2083.0
538,2083.0
539,2083.0
540,2002.0
541,1014.0
542,26.0
543,482.0
544,5179.0
545,3199.0
546,1498.0
547,1498.0
548,647.0
549,209.0
550,166.0
551,702.0
552,332.0
553,332.0
554,489.0
555,18.0
556,0.0
557,115.0
558,51.0
559,0.0
560,0.0
561,14.0
562,20.0
563,0.0
564,493.0
565,1914.0
566,631.0
567,2338.0
568,101.0
569,101.0
570,803.0
571,62.0
572,0.0
573,37.0
574,2254.0
575,3046.0
576,23.0
577,101.0
578,282.0
579,282.0
580,205.0
581,387.0
582,48.0
583,2224.0
584,3282.0
585,3282.0
586,1998.0
587,1998.0
588,604.0
589,-1.0
590,-1.0
591,929.0
592,563.0
593,1335.0
594,745.0
595,2652.0
596,2083.0
597,2083.0
598,36.0
599,0.0
600,1071.0
601,203.0
602,482.0
603,5179.0
604,2810.0
605,2810.0
606,1960.0
607,185.0
608,209.0
609,39.0
610,270.0
611,89.0
612,335.0
613,489.0
614,489.0
615,6.0
616,20.0
617,20.0
618,20.0
619,0.0
620,80.0
621,0.0
622,316.0
623,5531.0
624,5531.0
625,631.0
626,68.0
627,335.0
628,335.0
629,291.0
630,291.0
631,0.0
632,263.0
633,1507.0
634,0.0
635,0.0
636,487.0
637,635.0
638,635.0
639,105.0
640,105.0
641,48.0
642,1262.0
643,2129.0
644,1590.0
645,1442.0
646,1342.0
647,1342.0
648,-1.0
649,227.0
650,413.0
651,731.0
652,1335.0
653,2652.0
654,2652.0
655,2652.0
656,582.0
657,582.0
658,9.0
659,66.0
660,1071.0
661,-1.0
662,-1.0
663,1502.0
664,1870.0
665,248.0
666,185.0
667,436.0
668,10.0
669,10.0
670,9.0
671,531.0
672,73.0
673,136.0
674,91.0
675,69.0
676,0.0
677,0.0
678,11.0
679,0.0
680,426.0
681,47.0
682,1097.0
683,1609.0
684,425.0
685,256.0
686,599.0
687,599.0
688,291.0
689,291.0
690,602.0
691,1013.0
692,1419.0
693,143.0
694,143.0
695,487.0
696,366.0
697,635.0
698,12.0
699,97.0
700,97.0
701,2129.0
702,2129.0
703,1590.0
704,1334.0
705,860.0
706,663.0
707,-1.0
708,-1.0
709,258.0
710,432.0
711,1356.0
712,1209.0
713,2500.0
714,2500.0
715,582.0
716,582.0
717,1058.0
718,1058.0
719,1058.0
720,1082.0
721,-1.0
722,1502.0
723,1502.0
724,248.0
725,436.0
726,0.0
727,61.0
728,25.0
729,0.0
730,658.0
731,324.0
732,564.0
733,369.0
734,46.0
735,47.0
736,0.0
737,40.0
738,40.0
739,426.0
740,426.0
741,995.0
742,4754.0
743,233.0
744,256.0
745,162.0
746,599.0
747,1357.0
748,738.0
749,0.0
750,9263.0
751,6274.0
752,6274.0
753,2755.0
754,2755.0
755,366.0
756,0.0
757,12.0
758,227.0
759,1919.0
760,1919.0
761,1159.0
762,2324.0
763,1334.0
764,663.0
765,-1.0
766,-1.0
767,-1.0
768,-1.0
769,372.0
770,367.0
771,1209.0
772,2500.0
773,1952.0
774,1952.0
775,462.0
776,489.0
777,1058.0
778,1082.0
779,746.0
780,29.0
781,397.0
782,0.0
783,157.0
784,0.0
785,59.0
786,61.0
787,73.0
788,5.0
789,470.0
790,169.0
791,208.0
792,647.0
793,6.0
794,47.0
795,0.0
796,0.0
797,11.0
798,0.0
799,151.0
800,731.0
801,4815.0
802,1352.0
803,18.0
804,162.0
805,532.0
806,1357.0
807,1057.0
808,1200.0
809,2819.0
810,8992.0
811,6274.0
812,2755.0
813,1286.0
814,1286.0
815,0.0
816,0.0
817,227.0
818,1919.0
819,1919.0
820,2324.0
821,2324.0
822,1375.0
823,1389.0
824,-1.0
825,-1.0
826,1156.0
827,1156.0
828,367.0
829,393.0
830,332.0
831,527.0
832,248.0
833,1952.0
834,2038.0
835,1010.0
836,1010.0
837,1082.0
838,3.0
839,5.0
840,0.0
841,0.0
842,0.0
843,0.0
844,12.0
845,12.0
846,73.0
847,4.0
848,470.0
849,169.0
850,192.0
851,409.0
852,269.0
853,269.0
854,138.0
855,249.0
856,0.0
857,0.0
858,273.0
859,551.0
860,297.0
861,182.0
862,945.0
863,102.0
864,0.0
865,465.0
866,580.0
867,773.0
868,1294.0
869,813.0
870,804.0
871,80.0
872,0.0
873,0.0
874,0.0
875,0.0
876,9.0
877,166.0
878,166.0
879,130.0
880,130.0
881,1375.0
882,1375.0
883,-1.0
884,-1.0
885,-1.0
886,1156.0
887,1902.0
888,1902.0
889,559.0
890,695.0
891,828.0
892,2038.0
893,2038.0
894,2038.0
895,80.0
896,80.0
897,48.0
898,12.0
899,12.0
900,38.0
901,67.0
902,0.0
903,65.0
904,0.0
905,11.0
906,46.0
907,83.0
908,23.0
909,138.0
910,139.0
911,528.0
912,140.0
913,21.0
914,683.0
915,980.0
916,0.0
917,918.0
918,804.0
919,1767.0
920,1101.0
921,87.0
922,95.0
923,291.0
924,341.0
925,2651.0
926,2692.0
927,327.0
928,369.0
929,109.0
930,80.0
931,94.0
932,793.0
933,0.0
934,1929.0
935,1650.0
936,150.0
937,150.0
938,130.0
939,268.0
940,1375.0
941,1375.0
942,-1.0
943,-1.0
944,-1.0
945,1156.0
946,1902.0
947,1902.0
948,695.0
949,937.0
950,937.0
951,1467.0
952,1467.0
953,440.0
954,8.0
955,209.0
956,33.0
957,12.0
958,12.0
959,38.0
960,67.0
961,67.0
962,12.0
963,0.0
964,123.0
965,0.0
966,83.0
967,198.0
968,300.0
969,236.0
970,500.0
971,467.0
972,387.0
973,212.0
974,4027.0
975,1005.0
976,383.0
977,905.0
978,7391.0
979,3603.0
980,2280.0
981,2428.0
982,662.0
983,1285.0
984,1594.0
985,4518.0
986,0.0
987,311.0
988,126.0
989,169.0
990,292.0
991,1035.0
992,196.0
993,297.0
994,81.0
995,0.0
996,0.0
997,268.0
998,268.0
999,0.0
1000,64.0
1001,-1.0
1002,-1.0
1003,-1.0
1004,2443.0
1005,2443.0
1006,2443.0
1007,1329.0
1008,1329.0
1009,775.0
1010,775.0
1011,695.0
1012,677.0
1013,44.0
1014,0.0
1015,32.0
1016,0.0
1017,44.0
1018,3.0
1019,22.0
1020,80.0
1021,17.0
1022,0.0
1023,123.0
1024,0.0
1025,0.0
1026,165.0
1027,851.0
1028,145.0
1029,112.0
1030,279.0
1031,714.0
1032,423.0
1033,1790.0
1034,2127.0
1035,0.0
1036,1640.0
1037,1164.0
1038,3011.0
1039,5953.0
1040,1167.0
1041,1136.0
1042,1878.0
1043,1662.0
1044,698.0
1045,1023.0
1046,745.0
1047,26.0
1048,431.0
1049,140.0
1050,0.0
1051,312.0
1052,327.0
1053,231.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,-1.0
1060,-1.0
1061,-1.0
1062,-1.0
1063,-1.0
1064,2443.0
1065,2443.0
1066,1329.0
1067,1799.0
1068,1799.0
1069,1375.0
1070,1617.0
1071,1617.0
1072,476.0
1073,0.0
1074,10.0
1075,36.0
1076,312.0
1077,138.0
1078,34.0
1079,857.0
1080,36.0
1081,0.0
1082,19.0
1083,0.0
1084,7.0
1085,26.0
1086,480.0
1087,374.0
1088,160.0
1089,161.0
1090,169.0
1091,322.0
1092,1207.0
1093,2293.0
1094,8194.0
1095,6012.0
1096,3699.0
1097,6027.0
1098,7116.0
1099,20752.0
1100,4679.0
1101,5283.0
1102,10812.0
1103,2697.0
1104,3107.0
1105,2634.0
1106,157.0
1107,0.0
1108,0.0
1109,508.0
1110,312.0
1111,231.0
1112,231.0
1113,476.0
1114,476.0
1115,111.0
1116,424.0
1117,339.0
1118,218.0
1119,-1.0
1120,-1.0
1121,-1.0
1122,-1.0
1123,2443.0
1124,2443.0
1125,1799.0
1126,1799.0
1127,1425.0
1128,1425.0
1129,1375.0
1130,1617.0
1131,2781.0
1132,476.0
1133,39.0
1134,110.0
1135,110.0
1136,14.0
1137,16.0
1138,857.0
1139,65.0
1140,50.0
1141,337.0
1142,80.0
1143,57.0
1144,1.0
1145,311.0
1146,241.0
1147,265.0
1148,87.0
1149,90.0
1150,1126.0
1151,3636.0
1152,2360.0
1153,9329.0
1154,15306.0
1155,5692.0
1156,5356.0
1157,8905.0
1158,7927.0
1159,13333.0
1160,15921.0
1161,4706.0
1162,2814.0
1163,10099.0
1164,1370.0
1165,798.0
1166,0.0
1167,85.0
1168,68.0
1169,1839.0
1170,1839.0
1171,0.0
1172,476.0
1173,1732.0
1174,1732.0
1175,424.0
1176,424.0
1177,425.0
1178,425.0
1179,-1.0
1180,-1.0
1181,-1.0
1182,1956.0
1183,1956.0
1184,-1.0
1185,1799.0
1186,1425.0
1187,1259.0
1188,1259.0
1189,2781.0
1190,2781.0
1191,2781.0
1192,705.0
1193,705.0
1194,640.0
1195,784.0
1196,1.0
1197,95.0
1198,0.0
1199,125.0
1200,206.0
1201,275.0
1202,122.0
1203,56.0
1204,0.0
1205,8.0
1206,185.0
1207,972.0
1208,185.0
1209,526.0
1210,15277.0
1211,4212.0
1212,3269.0
1213,14961.0
1214,9736.0
1215,12917.0
1216,11060.0
1217,11529.0
1218,5386.0
1219,3040.0
1220,5880.0
1221,4201.0
1222,2560.0
1223,74.0
1224,330.0
1225,0.0
1226,201.0
1227,131.0
1228,33.0
1229,0.0
1230,118.0
1231,70.0
1232,1732.0
1233,1732.0
1234,327.0
1235,327.0
1236,223.0
1237,223.0
1238,-1.0
1239,-1.0
1240,-1.0
1241,1956.0
1242,1956.0
1243,-1.0
1244,-1.0
1245,1630.0
1246,1630.0
1247,1630.0
1248,1139.0
1249,2781.0
1250,2781.0
1251,1959.0
1252,705.0
1253,640.0
1254,872.0
1255,1.0
1256,0.0
1257,0.0
1258,125.0
1259,109.0
1260,714.0
1261,328.0
1262,67.0
1263,0.0
1264,20.0
1265,134.0
1266,56.0
1267,287.0
1268,56.0
1269,5328.0
1270,1230.0
1271,4906.0
1272,4977.0
1273,3868.0
1274,7974.0
1275,6921.0
1276,2840.0
1277,5804.0
1278,4530.0
1279,14765.0
1280,3199.0
1281,1210.0
1282,154.0
1283,59.0
1284,421.0
1285,1.0
1286,262.0
1287,26.0
1288,177.0
1289,118.0
1290,510.0
1291,0.0
1292,96.0
1293,96.0
1294,96.0
1295,223.0
1296,223.0
1297,223.0
1298,-1.0
1299,-1.0
1300,1956.0
1301,1956.0
1302,-1.0
1303,-1.0
1304,1630.0
1305,1630.0
1306,1139.0
1307,1139.0
1308,1139.0
1309,1959.0
1310,1959.0
1311,1959.0
1312,422.0
1313,872.0
1314,1.0
1315,402.0
1316,0.0
1317,612.0
1318,329.0
1319,535.0
1320,21.0
1321,50.0
1322,165.0
1323,462.0
1324,833.0
1325,599.0
1326,8475.0
1327,4773.0
1328,3457.0
1329,6703.0
1330,9973.0
1331,10294.0
1332,8349.0
1333,5941.0
1334,10767.0
1335,8086.0
1336,15430.0
1337,7489.0
1338,4816.0
1339,7020.0
1340,5522.0
1341,1491.0
1342,2349.0
1343,1189.0
1344,1162.0
1345,1162.0
1346,710.0
1347,64.0
1348,93.0
1349,510.0
1350,360.0
1351,367.0
1352,1019.0
1353,0.0
1354,2222.0
1355,9.0
1356,982.0
1357,-1.0
1358,-1.0
1359,1956.0
1360,440.0
1361,-1.0
1362,-1.0
1363,-1.0
1364,1630.0
1365,1139.0
1366,1139.0
1367,-1.0
1368,-1.0
1369,6869.0
1370,1959.0
1371,422.0
1372,918.0
1373,224.0
1374,88.0
1375,40.0
1376,513.0
1377,807.0
1378,23.0
1379,97.0
1380,240.0
1381,219.0
1382,391.0
1383,851.0
1384,555.0
1385,3201.0
1386,4975.0
1387,13542.0
1388,10931.0
1389,5205.0
1390,9447.0
1391,6221.0
1392,1807.0
1393,7209.0
1394,12001.0
1395,4211.0
1396,4817.0
1397,3569.0
1398,7120.0
1399,1422.0
1400,6286.0
1401,2690.0
1402,1234.0
1403,733.0
1404,249.0
1405,710.0
1406,55.0
1407,0.0
1408,1118.0
1409,904.0
1410,2694.0
1411,1019.0
1412,0.0
1413,2222.0
1414,1254.0
1415,-1.0
1416,-1.0
1417,-1.0
1418,777.0
1419,2440.0
1420,2440.0
1421,-1.0
1422,-1.0
1423,7453.0
1424,704.0
1425,704.0
1426,-1.0
1427,6869.0
1428,6869.0
1429,6869.0
1430,918.0
1431,918.0
1432,126.0
1433,126.0
1434,452.0
1435,417.0
1436,611.0
1437,129.0
1438,148.0
1439,195.0
1440,539.0
1441,379.0
1442,1095.0
1443,726.0
1444,738.0
1445,11483.0
1446,11637.0
1447,4525.0
1448,7860.0
1449,15700.0
1450,8228.0
1451,5416.0
1452,2849.0
1453,11496.0
1454,14636.0
1455,13140.0
1456,18440.0
1457,3411.0
1458,1177.0
1459,1835.0
1460,6.0
1461,203.0
1462,3005.0
1463,2252.0
1464,544.0
1465,986.0
1466,0.0
1467,405.0
1468,173.0
1469,1080.0
1470,169.0
1471,851.0
1472,3937.0
1473,-1.0
1474,-1.0
1475,-1.0
1476,-1.0
1477,777.0
1478,1163.0
1479,1163.0
1480,-1.0
1481,7453.0
1482,7453.0
1483,2208.0
1484,2208.0
1485,-1.0
1486,6869.0
1487,6869.0
1488,6869.0
1489,-1.0
1490,1581.0
1491,963.0
1492,845.0
1493,157.0
1494,417.0
1495,6.0
1496,0.0
1497,282.0
1498,182.0
1499,731.0
1500,323.0
1501,983.0
1502,1205.0
1503,831.0
1504,9556.0
1505,9590.0
1506,8635.0
1507,23248.0
1508,5098.0
1509,8104.0
1510,11237.0
1511,8216.0
1512,4385.0
1513,7388.0
1514,7907.0
1515,6579.0
1516,4286.0
1517,1326.0
1518,2418.0
1519,140.0
1520,1776.0
1521,2114.0
1522,8758.0
1523,6797.0
1524,2530.0
1525,3992.0
1526,48.0
1527,1521.0
1528,177.0
1529,169.0
1530,563.0
1531,23.0
1532,23.0
1533,-1.0
1534,-1.0
1535,-1.0
1536,1163.0
1537,1163.0
1538,1163.0
1539,-1.0
1540,-1.0
1541,2208.0
1542,2208.0
1543,2208.0
1544,-1.0
1545,-1.0
1546,6869.0
1547,25.0
1548,25.0
1549,1581.0
1550,448.0
1551,598.0
1552,187.0
1553,143.0
1554,93.0
1555,143.0
1556,208.0
1557,907.0
1558,866.0
1559,283.0
1560,226.0
1561,180.0
1562,2854.0
1563,2280.0
1564,605.0
1565,13362.0
1566,2897.0
1567,6169.0
1568,5696.0
1569,5983.0
1570,6233.0
1571,7556.0
1572,8588.0
1573,3466.0
1574,5751.0
1575,1199.0
1576,1521.0
1577,5899.0
1578,2467.0
1579,2608.0
1580,9762.0
1581,3007.0
1582,1135.0
1583,7.0
1584,462.0
1585,1053.0
1586,533.0
1587,533.0
1588,563.0
1589,563.0
1590,724.0
1591,724.0
1592,-1.0
1593,-1.0
1594,-1.0
1595,-1.0
1596,1163.0
1597,-1.0
1598,-1.0
1599,-1.0
1600,1498.0
1601,1498.0
1602,401.0
1603,1395.0
1604,1395.0
1605,-1.0
1606,25.0
1607,25.0
1608,301.0
1609,1489.0
1610,771.0
1611,597.0
1612,53.0
1613,33.0
1614,324.0
1615,507.0
1616,488.0
1617,785.0
1618,133.0
1619,184.0
1620,189.0
1621,615.0
1622,473.0
1623,5880.0
1624,12723.0
1625,10816.0
1626,3540.0
1627,7380.0
1628,3147.0
1629,6069.0
1630,2701.0
1631,2643.0
1632,7347.0
1633,2588.0
1634,6720.0
1635,4798.0
1636,3717.0
1637,5750.0
1638,5715.0
1639,2357.0
1640,110.0
1641,602.0
1642,696.0
1643,338.0
1644,1901.0
1645,60.0
1646,558.0
1647,808.0
1648,479.0
1649,724.0
1650,724.0
1651,-1.0
1652,-1.0
1653,-1.0
1654,-1.0
1655,-1.0
1656,-1.0
1657,-1.0
1658,-1.0
1659,1498.0
1660,1498.0
1661,401.0
1662,1395.0
1663,1395.0
1664,2280.0
1665,1907.0
1666,1051.0
1667,1312.0
1668,1069.0
1669,224.0
1670,447.0
1671,167.0
1672,40.0
1673,126.0
1674,432.0
1675,309.0
1676,351.0
1677,374.0
1678,229.0
1679,374.0
1680,594.0
1681,385.0
1682,2221.0
1683,7082.0
1684,3818.0
1685,6205.0
1686,8446.0
1687,18181.0
1688,3730.0
1689,3770.0
1690,7317.0
1691,5525.0
1692,83.0
1693,3825.0
1694,3886.0
1695,2507.0
1696,1716.0
1697,1411.0
1698,3904.0
1699,94.0
1700,2149.0
1701,11084.0
1702,912.0
1703,2449.0
1704,1342.0
1705,425.0
1706,2279.0
1707,515.0
1708,515.0
1709,515.0
1710,-1.0
1711,-1.0
1712,-1.0
1713,-1.0
1714,-1.0
1715,-1.0
1716,-1.0
1717,-1.0
1718,513.0
1719,513.0
1720,513.0
1721,755.0
1722,755.0
1723,2280.0
1724,1907.0
1725,250.0
1726,1094.0
1727,2001.0
1728,1109.0
1729,667.0
1730,155.0
1731,516.0
1732,191.0
1733,427.0
1734,80.0
1735,1897.0
1736,479.0
1737,458.0
1738,656.0
1739,448.0
1740,105.0
1741,2031.0
1742,1953.0
1743,16106.0
1744,8715.0
1745,1536.0
1746,6531.0
1747,3028.0
1748,2140.0
1749,12685.0
1750,4508.0
1751,417.0
1752,3965.0
1753,4998.0
1754,953.0
1755,2513.0
1756,226.0
1757,2529.0
1758,2608.0
1759,4265.0
1760,1870.0
1761,2068.0
1762,7065.0
1763,3744.0
1764,499.0
1765,2279.0
1766,475.0
1767,515.0
1768,-1.0
1769,-1.0
1770,-1.0
1771,-1.0
1772,-1.0
1773,-1.0
1774,-1.0
1775,-1.0
1776,-1.0
1777,513.0
1778,513.0
1779,513.0
1780,474.0
1781,474.0
1782,502.0
1783,1732.0
1784,2825.0
1785,1243.0
1786,689.0
1787,1072.0
1788,677.0
1789,568.0
1790,182.0
1791,560.0
1792,156.0
1793,224.0
1794,594.0
1795,392.0
1796,524.0
1797,334.0
1798,454.0
1799,1887.0
1800,3595.0
1801,3290.0
1802,18509.0
1803,1531.0
1804,1817.0
1805,2638.0
1806,3079.0
1807,6209.0
1808,8617.0
1809,1751.0
1810,739.0
1811,247.0
1812,2309.0
1813,1412.0
1814,2038.0
1815,1028.0
1816,888.0
1817,974.0
1818,1017.0
1819,455.0
1820,630.0
1821,1307.0
1822,6952.0
1823,826.0
1824,826.0
1825,6983.0
1826,2579.0
1827,-1.0
1828,-1.0
1829,-1.0
1830,-1.0
1831,-1.0
1832,-1.0
1833,-1.0
1834,3999.0
1835,3999.0
1836,1345.0
1837,1336.0
1838,1336.0
1839,197.0
1840,592.0
1841,641.0
1842,4385.0
1843,1786.0
1844,346.0
1845,1847.0
1846,2966.0
1847,431.0
1848,101.0
1849,128.0
1850,207.0
1851,255.0
1852,48.0
1853,525.0
1854,436.0
1855,1172.0
1856,224.0
1857,1539.0
1858,3332.0
1859,1224.0
1860,4626.0
1861,883.0
1862,3348.0
1863,632.0
1864,662.0
1865,2405.0
1866,145.0
1867,527.0
1868,2722.0
1869,315.0
1870,280.0
1871,252.0
1872,3372.0
1873,623.0
1874,1154.0
1875,629.0
1876,1136.0
1877,651.0
1878,264.0
1879,4.0
1880,827.0
1881,837.0
1882,8688.0
1883,6983.0
1884,15632.0
1885,15632.0
1886,7762.0
1887,4686.0
1888,-1.0
1889,-1.0
1890,-1.0
1891,-1.0
1892,3999.0
1893,3999.0
1894,3999.0
1895,1769.0
1896,1345.0
1897,1345.0
1898,890.0
1899,433.0
1900,2420.0
1901,4080.0
1902,1120.0
1903,824.0
1904,981.0
1905,573.0
1906,638.0
1907,95.0
1908,87.0
1909,292.0
1910,66.0
1911,675.0
1912,998.0
1913,1228.0
1914,481.0
1915,951.0
1916,1886.0
1917,4.0
1918,318.0
1919,25.0
1920,596.0
1921,858.0
1922,213.0
1923,95.0
1924,513.0
1925,357.0
1926,271.0
1927,371.0
1928,411.0
1929,495.0
1930,373.0
1931,165.0
1932,78.0
1933,475.0
1934,2881.0
1935,7197.0
1936,4362.0
1937,210.0
1938,303.0
1939,51.0
1940,2179.0
1941,1223.0
1942,1013.0
1943,15632.0
1944,7762.0
1945,4686.0
1946,-1.0
1947,-1.0
1948,-1.0
1949,-1.0
1950,-1.0
1951,3999.0
1952,3999.0
1953,1739.0
1954,1769.0
1955,1417.0
1956,1417.0
1957,890.0
1958,1197.0
1959,1603.0
1960,1420.0
1961,2002.0
1962,545.0
1963,1254.0
1964,1414.0
1965,436.0
1966,60.0
1967,82.0
1968,450.0
1969,240.0
1970,522.0
1971,420.0
1972,554.0
1973,1531.0
1974,4601.0
1975,208.0
1976,40.0
1977,524.0
1978,107.0
1979,380.0
1980,223.0
1981,1056.0
1982,118.0
1983,313.0
1984,493.0
1985,362.0
1986,904.0
1987,825.0
1988,46.0
1989,207.0
1990,377.0
1991,305.0
1992,98.0
1993,19454.0
1994,4654.0
1995,4362.0
1996,2136.0
1997,3229.0
1998,521.0
1999,2144.0
2000,331.0
2001,1013.0
