Grid_Number,Del_popu_Education
182,1271.0
183,1355.0
184,1510.0
185,482.0
186,2010.0
187,1823.0
188,850.0
189,264.0
190,3228.0
191,2061.0
192,2061.0
193,1340.0
194,-1.0
195,-1.0
196,-1.0
197,244.0
198,398.0
199,126.0
200,427.0
201,1022.0
202,1584.0
203,97.0
204,3538.0
205,3538.0
206,4194.0
207,4194.0
208,2407.0
209,2407.0
210,795.0
211,1211.0
212,290.0
213,456.0
214,915.0
215,915.0
216,15428.0
217,15428.0
218,7857.0
219,7857.0
220,2645.0
221,610.0
222,624.0
223,1751.0
224,2146.0
225,2677.0
226,2677.0
227,5229.0
228,2978.0
229,1493.0
230,1493.0
231,2478.0
232,1181.0
233,1510.0
234,2010.0
235,2010.0
236,1823.0
237,850.0
238,264.0
239,264.0
240,708.0
241,1598.0
242,1340.0
243,577.0
244,-1.0
245,-1.0
246,2507.0
247,2507.0
248,296.0
249,318.0
250,1022.0
251,97.0
252,97.0
253,684.0
254,1273.0
255,286.0
256,1712.0
257,2407.0
258,795.0
259,795.0
260,200.0
261,290.0
262,399.0
263,317.0
264,126.0
265,881.0
266,881.0
267,7857.0
268,2645.0
269,2255.0
270,846.0
271,1002.0
272,1347.0
273,936.0
274,2677.0
275,1091.0
276,1397.0
277,2061.0
278,1215.0
279,1493.0
280,2478.0
281,2680.0
282,2680.0
283,2680.0
284,1823.0
285,1698.0
286,850.0
287,259.0
288,2.0
289,2.0
290,1500.0
291,107.0
292,107.0
293,-1.0
294,-1.0
295,2507.0
296,2507.0
297,318.0
298,42.0
299,42.0
300,395.0
301,395.0
302,684.0
303,286.0
304,286.0
305,8.0
306,231.0
307,1309.0
308,425.0
309,425.0
310,131.0
311,131.0
312,823.0
313,126.0
314,0.0
315,3725.0
316,3725.0
317,12759.0
318,846.0
319,1290.0
320,1380.0
321,849.0
322,120.0
323,564.0
324,297.0
325,886.0
326,4182.0
327,2183.0
328,1332.0
329,2478.0
330,2680.0
331,2680.0
332,2680.0
333,1817.0
334,1817.0
335,1108.0
336,367.0
337,0.0
338,2.0
339,26.0
340,882.0
341,0.0
342,-1.0
343,-1.0
344,747.0
345,133.0
346,760.0
347,264.0
348,264.0
349,413.0
350,217.0
351,128.0
352,605.0
353,605.0
354,2727.0
355,1501.0
356,1309.0
357,1652.0
358,223.0
359,1319.0
360,77.0
361,823.0
362,145.0
363,0.0
364,3725.0
365,2611.0
366,12759.0
367,1353.0
368,1380.0
369,311.0
370,1195.0
371,166.0
372,740.0
373,1679.0
374,4182.0
375,4182.0
376,2061.0
377,2183.0
378,875.0
379,1477.0
380,1476.0
381,1476.0
382,1817.0
383,1817.0
384,51.0
385,430.0
386,0.0
387,653.0
388,26.0
389,1040.0
390,1016.0
391,-1.0
392,-1.0
393,915.0
394,361.0
395,1663.0
396,114.0
397,264.0
398,368.0
399,213.0
400,339.0
401,0.0
402,605.0
403,1501.0
404,97.0
405,0.0
406,959.0
407,959.0
408,439.0
409,549.0
410,0.0
411,485.0
412,51.0
413,146.0
414,2611.0
415,12759.0
416,1353.0
417,4226.0
418,1530.0
419,1162.0
420,940.0
421,688.0
422,1005.0
423,1455.0
424,4182.0
425,4182.0
426,-1.0
427,2856.0
428,875.0
429,790.0
430,1476.0
431,1817.0
432,630.0
433,51.0
434,51.0
435,0.0
436,1038.0
437,416.0
438,0.0
439,573.0
440,-1.0
441,-1.0
442,475.0
443,892.0
444,1663.0
445,298.0
446,114.0
447,381.0
448,1062.0
449,173.0
450,173.0
451,-1.0
452,2080.0
453,2080.0
454,2805.0
455,2805.0
456,807.0
457,221.0
458,221.0
459,171.0
460,235.0
461,235.0
462,1110.0
463,496.0
464,6576.0
465,3545.0
466,2627.0
467,6741.0
468,1885.0
469,104.0
470,60.0
471,140.0
472,2435.0
473,2435.0
474,2130.0
475,2259.0
476,2856.0
477,597.0
478,1326.0
479,801.0
480,651.0
481,51.0
482,380.0
483,-1.0
484,302.0
485,302.0
486,302.0
487,492.0
488,683.0
489,-1.0
490,752.0
491,248.0
492,916.0
493,188.0
494,471.0
495,0.0
496,0.0
497,1062.0
498,173.0
499,173.0
500,173.0
501,2080.0
502,2805.0
503,1581.0
504,1581.0
505,807.0
506,552.0
507,221.0
508,1403.0
509,3353.0
510,387.0
511,1110.0
512,7654.0
513,2682.0
514,3545.0
515,2627.0
516,6938.0
517,3981.0
518,933.0
519,878.0
520,191.0
521,2435.0
522,1763.0
523,2130.0
524,2259.0
525,3757.0
526,1115.0
527,3473.0
528,870.0
529,651.0
530,379.0
531,380.0
532,-1.0
533,1931.0
534,302.0
535,866.0
536,228.0
537,683.0
538,-1.0
539,104.0
540,0.0
541,1649.0
542,477.0
543,105.0
544,183.0
545,183.0
546,1015.0
547,173.0
548,173.0
549,-1.0
550,1038.0
551,1038.0
552,1581.0
553,807.0
554,143.0
555,552.0
556,1234.0
557,712.0
558,3353.0
559,2974.0
560,1733.0
561,7654.0
562,355.0
563,355.0
564,1074.0
565,4271.0
566,959.0
567,1305.0
568,870.0
569,864.0
570,2754.0
571,4174.0
572,3742.0
573,2981.0
574,7599.0
575,7599.0
576,5040.0
577,3473.0
578,651.0
579,683.0
580,2662.0
581,2069.0
582,1931.0
583,1734.0
584,944.0
585,491.0
586,862.0
587,-1.0
588,451.0
589,670.0
590,165.0
591,1106.0
592,392.0
593,784.0
594,0.0
595,499.0
596,283.0
597,1058.0
598,636.0
599,636.0
600,1038.0
601,2049.0
602,405.0
603,281.0
604,1508.0
605,19.0
606,710.0
607,736.0
608,2422.0
609,1342.0
610,0.0
611,2855.0
612,952.0
613,4167.0
614,364.0
615,21650.0
616,17382.0
617,4079.0
618,2482.0
619,1037.0
620,4713.0
621,3742.0
622,2981.0
623,7599.0
624,3908.0
625,3908.0
626,5040.0
627,2087.0
628,572.0
629,0.0
630,2069.0
631,1931.0
632,1734.0
633,99.0
634,99.0
635,1024.0
636,1024.0
637,316.0
638,391.0
639,163.0
640,168.0
641,392.0
642,1277.0
643,727.0
644,379.0
645,283.0
646,1058.0
647,444.0
648,339.0
649,299.0
650,56.0
651,63.0
652,1963.0
653,52.0
654,535.0
655,654.0
656,2268.0
657,3298.0
658,1675.0
659,1542.0
660,849.0
661,1054.0
662,1054.0
663,364.0
664,1873.0
665,1919.0
666,3398.0
667,3144.0
668,846.0
669,2101.0
670,2388.0
671,2388.0
672,1042.0
673,416.0
674,2362.0
675,2301.0
676,2289.0
677,822.0
678,388.0
679,1056.0
680,1126.0
681,1121.0
682,99.0
683,99.0
684,1024.0
685,-1.0
686,0.0
687,391.0
688,163.0
689,168.0
690,160.0
691,159.0
692,524.0
693,244.0
694,282.0
695,444.0
696,176.0
697,614.0
698,56.0
699,56.0
700,0.0
701,35.0
702,1186.0
703,0.0
704,1.0
705,2727.0
706,5779.0
707,2320.0
708,3048.0
709,342.0
710,2447.0
711,718.0
712,718.0
713,458.0
714,3673.0
715,497.0
716,914.0
717,16.0
718,743.0
719,743.0
720,3216.0
721,807.0
722,0.0
723,2362.0
724,925.0
725,1105.0
726,781.0
727,1482.0
728,3481.0
729,7939.0
730,1953.0
731,3563.0
732,3563.0
733,-1.0
734,-1.0
735,878.0
736,842.0
737,2061.0
738,33.0
739,779.0
740,464.0
741,217.0
742,2399.0
743,226.0
744,199.0
745,149.0
746,828.0
747,133.0
748,75.0
749,767.0
750,86.0
751,190.0
752,135.0
753,0.0
754,993.0
755,4228.0
756,2570.0
757,2755.0
758,1513.0
759,1108.0
760,1108.0
761,4156.0
762,6875.0
763,12188.0
764,1927.0
765,442.0
766,2808.0
767,743.0
768,287.0
769,287.0
770,0.0
771,0.0
772,604.0
773,925.0
774,1105.0
775,1033.0
776,2579.0
777,9574.0
778,9574.0
779,3563.0
780,3563.0
781,136.0
782,136.0
783,-1.0
784,-1.0
785,1000.0
786,3261.0
787,4157.0
788,1052.0
789,1181.0
790,1606.0
791,1594.0
792,91.0
793,564.0
794,206.0
795,198.0
796,166.0
797,270.0
798,130.0
799,86.0
800,608.0
801,193.0
802,462.0
803,2470.0
804,1902.0
805,6179.0
806,5794.0
807,2380.0
808,175.0
809,983.0
810,617.0
811,453.0
812,12708.0
813,985.0
814,358.0
815,351.0
816,0.0
817,908.0
818,5283.0
819,20.0
820,1638.0
821,307.0
822,307.0
823,53.0
824,4221.0
825,2579.0
826,2127.0
827,9574.0
828,2133.0
829,1311.0
830,1079.0
831,136.0
832,-1.0
833,-1.0
834,1198.0
835,2630.0
836,772.0
837,1630.0
838,637.0
839,736.0
840,849.0
841,345.0
842,492.0
843,216.0
844,411.0
845,165.0
846,5.0
847,793.0
848,2420.0
849,1775.0
850,148.0
851,681.0
852,309.0
853,3234.0
854,5487.0
855,473.0
856,1175.0
857,0.0
858,983.0
859,1499.0
860,1695.0
861,8222.0
862,2556.0
863,613.0
864,351.0
865,4248.0
866,606.0
867,731.0
868,1635.0
869,321.0
870,312.0
871,53.0
872,53.0
873,1264.0
874,1372.0
875,266.0
876,576.0
877,823.0
878,1311.0
879,1079.0
880,196.0
881,-1.0
882,-1.0
883,166.0
884,2879.0
885,2354.0
886,4212.0
887,2390.0
888,1323.0
889,3263.0
890,2969.0
891,1194.0
892,934.0
893,508.0
894,929.0
895,1174.0
896,1176.0
897,520.0
898,174.0
899,913.0
900,351.0
901,365.0
902,1844.0
903,6317.0
904,5224.0
905,1492.0
906,1094.0
907,99.0
908,705.0
909,5313.0
910,5313.0
911,3531.0
912,1956.0
913,0.0
914,1815.0
915,1842.0
916,2486.0
917,1635.0
918,26.0
919,26.0
920,1458.0
921,53.0
922,19.0
923,267.0
924,267.0
925,0.0
926,596.0
927,1311.0
928,677.0
929,590.0
930,-1.0
931,-1.0
932,247.0
933,997.0
934,1751.0
935,1101.0
936,2715.0
937,1755.0
938,2598.0
939,1696.0
940,1015.0
941,1214.0
942,2422.0
943,649.0
944,42.0
945,240.0
946,1193.0
947,125.0
948,162.0
949,1899.0
950,1984.0
951,1279.0
952,3263.0
953,1068.0
954,1089.0
955,471.0
956,556.0
957,2361.0
958,1612.0
959,1664.0
960,3531.0
961,1387.0
962,1600.0
963,1815.0
964,2170.0
965,787.0
966,26.0
967,26.0
968,1458.0
969,1458.0
970,808.0
971,599.0
972,0.0
973,379.0
974,390.0
975,673.0
976,673.0
977,0.0
978,873.0
979,-1.0
980,413.0
981,528.0
982,1963.0
983,917.0
984,2668.0
985,1479.0
986,1729.0
987,1495.0
988,169.0
989,621.0
990,1284.0
991,1128.0
992,64.0
993,2000.0
994,2000.0
995,0.0
996,583.0
997,1449.0
998,4284.0
999,2659.0
1000,5367.0
1001,4625.0
1002,5780.0
1003,4262.0
1004,280.0
1005,2557.0
1006,2265.0
1007,4382.0
1008,3957.0
1009,2417.0
1010,1081.0
1011,1366.0
1012,1271.0
1013,2430.0
1014,164.0
1015,0.0
1016,3364.0
1017,1117.0
1018,5469.0
1019,458.0
1020,2210.0
1021,379.0
1022,379.0
1023,783.0
1024,783.0
1025,1031.0
1026,315.0
1027,1265.0
1028,-1.0
1029,1120.0
1030,1369.0
1031,888.0
1032,1530.0
1033,476.0
1034,2455.0
1035,1871.0
1036,1692.0
1037,1376.0
1038,183.0
1039,1855.0
1040,1726.0
1041,593.0
1042,2110.0
1043,647.0
1044,0.0
1045,1165.0
1046,262.0
1047,2007.0
1048,1383.0
1049,3837.0
1050,5081.0
1051,4847.0
1052,4405.0
1053,783.0
1054,2649.0
1055,53.0
1056,3778.0
1057,4164.0
1058,338.0
1059,781.0
1060,411.0
1061,668.0
1062,687.0
1063,700.0
1064,0.0
1065,1225.0
1066,7420.0
1067,5469.0
1068,3992.0
1069,4477.0
1070,125.0
1071,0.0
1072,577.0
1073,783.0
1074,1834.0
1075,6567.0
1076,1265.0
1077,-1.0
1078,-1.0
1079,2736.0
1080,2013.0
1081,997.0
1082,2080.0
1083,2193.0
1084,2551.0
1085,799.0
1086,2668.0
1087,2237.0
1088,429.0
1089,747.0
1090,550.0
1091,512.0
1092,3055.0
1093,291.0
1094,571.0
1095,1052.0
1096,3368.0
1097,3877.0
1098,3684.0
1099,4623.0
1100,1978.0
1101,4538.0
1102,312.0
1103,1154.0
1104,4807.0
1105,6696.0
1106,7740.0
1107,1450.0
1108,1900.0
1109,1665.0
1110,914.0
1111,919.0
1112,0.0
1113,1068.0
1114,1128.0
1115,2601.0
1116,12967.0
1117,5634.0
1118,1061.0
1119,3683.0
1120,903.0
1121,550.0
1122,1020.0
1123,603.0
1124,1432.0
1125,-1.0
1126,-1.0
1127,-1.0
1128,227.0
1129,1058.0
1130,1390.0
1131,889.0
1132,3360.0
1133,1843.0
1134,519.0
1135,1670.0
1136,2500.0
1137,731.0
1138,463.0
1139,0.0
1140,4860.0
1141,8271.0
1142,2.0
1143,6518.0
1144,1843.0
1145,2789.0
1146,5585.0
1147,5768.0
1148,3229.0
1149,1537.0
1150,6669.0
1151,1801.0
1152,1839.0
1153,2281.0
1154,2993.0
1155,2560.0
1156,1976.0
1157,2059.0
1158,4778.0
1159,786.0
1160,1437.0
1161,318.0
1162,0.0
1163,3480.0
1164,6628.0
1165,6628.0
1166,5800.0
1167,6673.0
1168,367.0
1169,0.0
1170,0.0
1171,1020.0
1172,661.0
1173,359.0
1174,-1.0
1175,-1.0
1176,-1.0
1177,490.0
1178,773.0
1179,1039.0
1180,221.0
1181,7744.0
1182,5635.0
1183,2972.0
1184,1935.0
1185,6124.0
1186,4483.0
1187,302.0
1188,1056.0
1189,4860.0
1190,6801.0
1191,6258.0
1192,5898.0
1193,549.0
1194,2443.0
1195,7185.0
1196,1746.0
1197,3663.0
1198,3316.0
1199,2646.0
1200,1190.0
1201,1827.0
1202,1849.0
1203,4047.0
1204,10268.0
1205,4653.0
1206,3262.0
1207,3858.0
1208,3654.0
1209,822.0
1210,867.0
1211,354.0
1212,1224.0
1213,480.0
1214,7145.0
1215,7145.0
1216,10848.0
1217,2208.0
1218,459.0
1219,421.0
1220,1725.0
1221,1253.0
1222,873.0
1223,3747.0
1224,-1.0
1225,42.0
1226,809.0
1227,381.0
1228,746.0
1229,1059.0
1230,423.0
1231,1332.0
1232,1667.0
1233,495.0
1234,2557.0
1235,890.0
1236,1641.0
1237,230.0
1238,922.0
1239,567.0
1240,26373.0
1241,5777.0
1242,1112.0
1243,2256.0
1244,2275.0
1245,4533.0
1246,2036.0
1247,3841.0
1248,1287.0
1249,4571.0
1250,8873.0
1251,2195.0
1252,1987.0
1253,6443.0
1254,986.0
1255,2020.0
1256,3220.0
1257,1132.0
1258,979.0
1259,3244.0
1260,449.0
1261,660.0
1262,480.0
1263,468.0
1264,3440.0
1265,4651.0
1266,343.0
1267,1508.0
1268,581.0
1269,1990.0
1270,414.0
1271,1161.0
1272,723.0
1273,1550.0
1274,95.0
1275,2001.0
1276,175.0
1277,923.0
1278,404.0
1279,394.0
1280,1504.0
1281,957.0
1282,2589.0
1283,1562.0
1284,1936.0
1285,5455.0
1286,3972.0
1287,1715.0
1288,19254.0
1289,19254.0
1290,5777.0
1291,4900.0
1292,1175.0
1293,486.0
1294,1681.0
1295,13222.0
1296,13411.0
1297,4516.0
1298,2673.0
1299,10336.0
1300,1541.0
1301,4974.0
1302,13314.0
1303,2900.0
1304,3566.0
1305,7010.0
1306,898.0
1307,171.0
1308,417.0
1309,780.0
1310,1248.0
1311,2090.0
1312,1612.0
1313,620.0
1314,874.0
1315,751.0
1316,1457.0
1317,3399.0
1318,634.0
1319,2269.0
1320,436.0
1321,2064.0
1322,-1.0
1323,-1.0
1324,2343.0
1325,1486.0
1326,2738.0
1327,199.0
1328,783.0
1329,181.0
1330,623.0
1331,4137.0
1332,2539.0
1333,127.0
1334,2062.0
1335,3837.0
1336,6879.0
1337,12132.0
1338,12191.0
1339,5955.0
1340,3042.0
1341,6118.0
1342,4534.0
1343,1989.0
1344,9476.0
1345,7838.0
1346,3445.0
1347,3695.0
1348,2957.0
1349,5273.0
1350,3571.0
1351,4155.0
1352,2537.0
1353,1534.0
1354,3431.0
1355,3268.0
1356,2433.0
1357,1831.0
1358,1180.0
1359,1117.0
1360,374.0
1361,1612.0
1362,412.0
1363,533.0
1364,893.0
1365,2289.0
1366,1546.0
1367,1288.0
1368,1708.0
1369,1124.0
1370,2680.0
1371,-1.0
1372,-1.0
1373,1271.0
1374,557.0
1375,478.0
1376,937.0
1377,937.0
1378,806.0
1379,8341.0
1380,1106.0
1381,0.0
1382,573.0
1383,1045.0
1384,3411.0
1385,4631.0
1386,1445.0
1387,7290.0
1388,9014.0
1389,11831.0
1390,1872.0
1391,952.0
1392,5247.0
1393,4554.0
1394,2635.0
1395,2805.0
1396,6327.0
1397,4262.0
1398,7613.0
1399,5157.0
1400,3978.0
1401,3996.0
1402,6416.0
1403,3972.0
1404,3250.0
1405,2685.0
1406,2483.0
1407,690.0
1408,2946.0
1409,10121.0
1410,10121.0
1411,2436.0
1412,1657.0
1413,967.0
1414,3534.0
1415,959.0
1416,154.0
1417,608.0
1418,613.0
1419,1414.0
1420,1058.0
1421,437.0
1422,1271.0
1423,319.0
1424,273.0
1425,937.0
1426,3324.0
1427,3324.0
1428,2358.0
1429,5971.0
1430,266.0
1431,120.0
1432,120.0
1433,72.0
1434,729.0
1435,360.0
1436,6525.0
1437,9014.0
1438,6036.0
1439,5209.0
1440,3554.0
1441,10914.0
1442,5934.0
1443,6616.0
1444,5430.0
1445,1102.0
1446,5384.0
1447,2636.0
1448,10745.0
1449,10049.0
1450,4577.0
1451,3421.0
1452,2780.0
1453,7484.0
1454,1677.0
1455,5289.0
1456,795.0
1457,908.0
1458,5728.0
1459,1585.0
1460,2436.0
1461,4730.0
1462,4391.0
1463,2086.0
1464,688.0
1465,983.0
1466,6994.0
1467,13241.0
1468,827.0
1469,4581.0
1470,-1.0
1471,590.0
1472,95.0
1473,1602.0
1474,1592.0
1475,1078.0
1476,3870.0
1477,1618.0
1478,1458.0
1479,7444.0
1480,119.0
1481,0.0
1482,1050.0
1483,862.0
1484,906.0
1485,1532.0
1486,12130.0
1487,4923.0
1488,3467.0
1489,1708.0
1490,14779.0
1491,1396.0
1492,2009.0
1493,6950.0
1494,1442.0
1495,3948.0
1496,6421.0
1497,6506.0
1498,1872.0
1499,4524.0
1500,3040.0
1501,1726.0
1502,3617.0
1503,5258.0
1504,507.0
1505,5731.0
1506,7330.0
1507,4325.0
1508,1585.0
1509,571.0
1510,4730.0
1511,4391.0
1512,2446.0
1513,847.0
1514,2684.0
1515,982.0
1516,3817.0
1517,3991.0
1518,-1.0
1519,255.0
1520,0.0
1521,441.0
1522,692.0
1523,300.0
1524,1928.0
1525,2953.0
1526,1191.0
1527,2609.0
1528,474.0
1529,119.0
1530,2580.0
1531,1120.0
1532,2189.0
1533,2144.0
1534,2237.0
1535,2606.0
1536,2643.0
1537,3055.0
1538,1553.0
1539,2529.0
1540,2322.0
1541,768.0
1542,1597.0
1543,3588.0
1544,16756.0
1545,1834.0
1546,4758.0
1547,5960.0
1548,3802.0
1549,669.0
1550,593.0
1551,2075.0
1552,1403.0
1553,4437.0
1554,5002.0
1555,4873.0
1556,2765.0
1557,2782.0
1558,8759.0
1559,8533.0
1560,1668.0
1561,4435.0
1562,6195.0
1563,2684.0
1564,2517.0
1565,2330.0
1566,3322.0
1567,-1.0
1568,-1.0
1569,-1.0
1570,3695.0
1571,4792.0
1572,604.0
1573,604.0
1574,6718.0
1575,11222.0
1576,2206.0
1577,6129.0
1578,2457.0
1579,1388.0
1580,1420.0
1581,885.0
1582,2097.0
1583,983.0
1584,1194.0
1585,4550.0
1586,4012.0
1587,2177.0
1588,373.0
1589,1043.0
1590,3928.0
1591,1570.0
1592,1792.0
1593,9997.0
1594,9665.0
1595,1382.0
1596,7175.0
1597,9675.0
1598,8797.0
1599,2338.0
1600,6257.0
1601,7885.0
1602,2620.0
1603,4153.0
1604,896.0
1605,680.0
1606,1321.0
1607,1310.0
1608,8533.0
1609,394.0
1610,649.0
1611,2088.0
1612,2088.0
1613,2078.0
1614,2078.0
1615,-1.0
1616,-1.0
1617,-1.0
1618,-1.0
1619,1905.0
1620,1905.0
1621,7668.0
1622,14502.0
1623,14502.0
1624,11222.0
1625,10188.0
1626,10137.0
1627,1209.0
1628,578.0
1629,2256.0
1630,310.0
1631,800.0
1632,3229.0
1633,2304.0
1634,5936.0
1635,1127.0
1636,4614.0
1637,1184.0
1638,372.0
1639,0.0
1640,2157.0
1641,2501.0
1642,924.0
1643,6431.0
1644,1314.0
1645,3533.0
1646,5564.0
1647,1496.0
1648,10766.0
1649,4304.0
1650,6134.0
1651,851.0
1652,3650.0
1653,732.0
1654,1288.0
1655,0.0
1656,1005.0
1657,0.0
1658,599.0
1659,551.0
1660,1535.0
1661,2816.0
1662,3654.0
1663,522.0
1664,-1.0
1665,-1.0
1666,-1.0
1667,-1.0
1668,5257.0
1669,5264.0
1670,3916.0
1671,5273.0
1672,5767.0
1673,17495.0
1674,12241.0
1675,3758.0
1676,4508.0
1677,752.0
1678,345.0
1679,875.0
1680,287.0
1681,2876.0
1682,5056.0
1683,990.0
1684,1587.0
1685,2031.0
1686,5644.0
1687,0.0
1688,1731.0
1689,1693.0
1690,1269.0
1691,4457.0
1692,14402.0
1693,5135.0
1694,5077.0
1695,6754.0
1696,4311.0
1697,2695.0
1698,3030.0
1699,6190.0
1700,1302.0
1701,198.0
1702,927.0
1703,1135.0
1704,195.0
1705,1349.0
1706,2711.0
1707,797.0
1708,926.0
1709,557.0
1710,380.0
1711,1286.0
1712,863.0
1713,-1.0
1714,-1.0
1715,-1.0
1716,-1.0
1717,2488.0
1718,3944.0
1719,2569.0
1720,927.0
1721,2086.0
1722,13620.0
1723,5891.0
1724,220.0
1725,1413.0
1726,5815.0
1727,3252.0
1728,527.0
1729,2161.0
1730,2796.0
1731,1694.0
1732,3234.0
1733,8474.0
1734,3496.0
1735,4982.0
1736,12904.0
1737,0.0
1738,2365.0
1739,5611.0
1740,18529.0
1741,16338.0
1742,3981.0
1743,7316.0
1744,6282.0
1745,8817.0
1746,3652.0
1747,8357.0
1748,6411.0
1749,1425.0
1750,1115.0
1751,1039.0
1752,60.0
1753,1209.0
1754,1349.0
1755,540.0
1756,920.0
1757,3246.0
1758,4151.0
1759,2411.0
1760,-1.0
1761,-1.0
1762,-1.0
1763,-1.0
1764,-1.0
1765,991.0
1766,-1.0
1767,1864.0
1768,5545.0
1769,7424.0
1770,7559.0
1771,7547.0
1772,835.0
1773,1009.0
1774,2184.0
1775,6236.0
1776,435.0
1777,6493.0
1778,6616.0
1779,2497.0
1780,3915.0
1781,1844.0
1782,5171.0
1783,4197.0
1784,2646.0
1785,12043.0
1786,8232.0
1787,7266.0
1788,2731.0
1789,6235.0
1790,5586.0
1791,2734.0
1792,5397.0
1793,3753.0
1794,3704.0
1795,585.0
1796,12698.0
1797,4596.0
1798,2606.0
1799,1798.0
1800,180.0
1801,51.0
1802,51.0
1803,1264.0
1804,540.0
1805,920.0
1806,3246.0
1807,2684.0
1808,13434.0
1809,13434.0
1810,-1.0
1811,-1.0
1812,-1.0
1813,-1.0
1814,-1.0
1815,4423.0
1816,4423.0
1817,5380.0
1818,12923.0
1819,1530.0
1820,3631.0
1821,6711.0
1822,3059.0
1823,4149.0
1824,1040.0
1825,695.0
1826,1813.0
1827,7283.0
1828,4749.0
1829,1828.0
1830,8827.0
1831,3565.0
1832,4751.0
1833,9559.0
1834,12475.0
1835,3252.0
1836,917.0
1837,3222.0
1838,6233.0
1839,5195.0
1840,777.0
1841,5627.0
1842,1395.0
1843,1492.0
1844,6134.0
1845,3870.0
1846,1615.0
1847,2560.0
1848,1521.0
1849,5021.0
1850,397.0
1851,397.0
1852,1264.0
1853,2593.0
1854,2630.0
1855,4132.0
1856,24193.0
1857,24193.0
1858,13434.0
1859,-1.0
1860,-1.0
1861,-1.0
1862,-1.0
1863,-1.0
1864,4661.0
1865,2935.0
1866,2935.0
1867,12923.0
1868,934.0
1869,1842.0
1870,149.0
1871,11737.0
1872,12801.0
1873,9093.0
1874,4174.0
1875,895.0
1876,1037.0
1877,2129.0
1878,4585.0
1879,12221.0
1880,5908.0
1881,3467.0
1882,7174.0
1883,9757.0
1884,8005.0
1885,7748.0
1886,3450.0
1887,6404.0
1888,1733.0
1889,6906.0
1890,3090.0
1891,8546.0
1892,8831.0
1893,4692.0
1894,382.0
1895,1496.0
1896,574.0
1897,1190.0
1898,5021.0
1899,397.0
1900,397.0
1901,2593.0
1902,2593.0
1903,2630.0
1904,24193.0
1905,24193.0
1906,24193.0
1907,-1.0
1908,-1.0
1909,-1.0
1910,-1.0
1911,-1.0
1912,1319.0
1913,259.0
1914,1393.0
1915,82.0
1916,82.0
1917,0.0
1918,149.0
1919,4706.0
1920,441.0
1921,2334.0
1922,3407.0
1923,6386.0
1924,6981.0
1925,4380.0
1926,762.0
1927,9857.0
1928,8208.0
1929,3787.0
1930,920.0
1931,4230.0
1932,8721.0
1933,6045.0
1934,3035.0
1935,4282.0
1936,11461.0
1937,10364.0
1938,3690.0
1939,4963.0
1940,15000.0
1941,14430.0
1942,3643.0
1943,4742.0
1944,1505.0
1945,3863.0
1946,3863.0
1947,2895.0
1948,180.0
1949,180.0
1950,503.0
1951,360.0
1952,9189.0
1953,9189.0
1954,24193.0
1955,323.0
1956,5136.0
