Grid_Number,Ban_n_Health
184,6.0
185,6.0
186,7.0
187,8.0
188,8.0
189,15.0
190,16.0
191,18.0
192,18.0
193,15.0
194,16.0
195,17.0
196,5.0
197,4.0
198,4.0
199,4.0
200,6.0
201,7.0
202,8.0
203,8.0
204,8.0
205,8.0
206,7.0
207,5.0
208,6.0
209,12.0
210,6.0
211,5.0
212,4.0
213,4.0
214,8.0
215,20.0
216,22.0
217,24.0
218,24.0
219,25.0
220,46.0
221,55.0
222,60.0
223,56.0
224,44.0
225,28.0
226,23.0
227,21.0
228,20.0
229,17.0
230,19.0
231,16.0
232,10.0
233,6.0
234,6.0
235,6.0
236,5.0
237,5.0
238,6.0
239,5.0
240,5.0
241,8.0
242,8.0
243,8.0
244,7.0
245,8.0
246,8.0
247,8.0
248,23.0
249,22.0
250,21.0
251,19.0
252,18.0
253,19.0
254,20.0
255,20.0
256,5.0
257,5.0
258,6.0
259,7.0
260,8.0
261,8.0
262,4.0
263,9.0
264,9.0
265,10.0
266,18.0
267,18.0
268,19.0
269,21.0
270,20.0
271,8.0
272,6.0
273,9.0
274,22.0
275,24.0
276,25.0
277,25.0
278,51.0
279,64.0
280,60.0
281,59.0
282,61.0
283,57.0
284,49.0
285,27.0
286,21.0
287,22.0
288,17.0
289,19.0
290,11.0
291,8.0
292,8.0
293,7.0
294,7.0
295,4.0
296,3.0
297,3.0
298,3.0
299,4.0
300,7.0
301,8.0
302,8.0
303,9.0
304,8.0
305,12.0
306,19.0
307,23.0
308,20.0
309,19.0
310,22.0
311,20.0
312,20.0
313,21.0
314,20.0
315,5.0
316,5.0
317,7.0
318,8.0
319,9.0
320,9.0
321,10.0
322,9.0
323,10.0
324,22.0
325,23.0
326,21.0
327,21.0
328,20.0
329,21.0
330,21.0
331,9.0
332,9.0
333,12.0
334,24.0
335,25.0
336,33.0
337,69.0
338,69.0
339,59.0
340,68.0
341,61.0
342,56.0
343,55.0
344,44.0
345,18.0
346,18.0
347,19.0
348,11.0
349,7.0
350,8.0
351,8.0
352,8.0
353,7.0
354,2.0
355,3.0
356,3.0
357,3.0
358,6.0
359,7.0
360,8.0
361,9.0
362,11.0
363,12.0
364,14.0
365,23.0
366,24.0
367,21.0
368,21.0
369,25.0
370,22.0
371,20.0
372,21.0
373,22.0
374,7.0
375,6.0
376,8.0
377,9.0
378,11.0
379,12.0
380,12.0
381,10.0
382,21.0
383,24.0
384,24.0
385,24.0
386,23.0
387,23.0
388,22.0
389,24.0
390,26.0
391,11.0
392,11.0
393,15.0
394,24.0
395,63.0
396,74.0
397,76.0
398,77.0
399,69.0
400,64.0
401,58.0
402,53.0
403,50.0
404,17.0
405,17.0
406,16.0
407,11.0
408,11.0
409,10.0
410,10.0
411,8.0
412,8.0
413,4.0
414,4.0
415,3.0
416,5.0
417,7.0
418,8.0
419,10.0
420,12.0
421,10.0
422,13.0
423,14.0
424,23.0
425,25.0
426,22.0
427,25.0
428,25.0
429,24.0
430,22.0
431,22.0
432,23.0
433,12.0
434,10.0
435,12.0
436,16.0
437,14.0
438,12.0
439,12.0
440,11.0
441,26.0
442,27.0
443,30.0
444,25.0
445,24.0
446,24.0
447,27.0
448,27.0
449,27.0
450,12.0
451,12.0
452,13.0
453,23.0
454,64.0
455,70.0
456,69.0
457,70.0
458,68.0
459,68.0
460,60.0
461,58.0
462,52.0
463,14.0
464,12.0
465,15.0
466,17.0
467,20.0
468,16.0
469,17.0
470,17.0
471,12.0
472,4.0
473,9.0
474,8.0
475,4.0
476,6.0
477,9.0
478,11.0
479,12.0
480,14.0
481,14.0
482,14.0
483,14.0
484,25.0
485,27.0
486,25.0
487,25.0
488,24.0
489,24.0
490,21.0
491,25.0
492,10.0
493,12.0
494,21.0
495,26.0
496,24.0
497,25.0
498,15.0
499,16.0
500,29.0
501,31.0
502,32.0
503,26.0
504,25.0
505,32.0
506,34.0
507,35.0
508,38.0
509,19.0
510,12.0
511,13.0
512,26.0
513,59.0
514,67.0
515,67.0
516,66.0
517,66.0
518,66.0
519,63.0
520,47.0
521,51.0
522,11.0
523,12.0
524,13.0
525,21.0
526,21.0
527,18.0
528,17.0
529,15.0
530,15.0
531,9.0
532,9.0
533,9.0
534,13.0
535,12.0
536,10.0
537,10.0
538,12.0
539,14.0
540,13.0
541,14.0
542,14.0
543,27.0
544,27.0
545,25.0
546,25.0
547,25.0
548,24.0
549,23.0
550,13.0
551,14.0
552,21.0
553,23.0
554,33.0
555,31.0
556,30.0
557,28.0
558,18.0
559,32.0
560,32.0
561,33.0
562,31.0
563,33.0
564,40.0
565,41.0
566,43.0
567,42.0
568,26.0
569,21.0
570,15.0
571,32.0
572,54.0
573,76.0
574,72.0
575,72.0
576,64.0
577,64.0
578,66.0
579,57.0
580,43.0
581,9.0
582,12.0
583,15.0
584,18.0
585,17.0
586,16.0
587,15.0
588,15.0
589,15.0
590,10.0
591,10.0
592,11.0
593,12.0
594,18.0
595,14.0
596,10.0
597,11.0
598,13.0
599,16.0
600,15.0
601,15.0
602,11.0
603,23.0
604,25.0
605,23.0
606,26.0
607,24.0
608,12.0
609,11.0
610,19.0
611,22.0
612,30.0
613,35.0
614,40.0
615,41.0
616,41.0
617,37.0
618,22.0
619,35.0
620,36.0
621,36.0
622,44.0
623,48.0
624,57.0
625,56.0
626,40.0
627,31.0
628,28.0
629,40.0
630,39.0
631,46.0
632,69.0
633,78.0
634,74.0
635,69.0
636,65.0
637,65.0
638,55.0
639,19.0
640,10.0
641,11.0
642,16.0
643,15.0
644,15.0
645,15.0
646,15.0
647,15.0
648,13.0
649,11.0
650,14.0
651,18.0
652,18.0
653,18.0
654,21.0
655,16.0
656,8.0
657,8.0
658,10.0
659,11.0
660,11.0
661,11.0
662,12.0
663,12.0
664,10.0
665,12.0
666,10.0
667,11.0
668,16.0
669,21.0
670,23.0
671,33.0
672,42.0
673,43.0
674,44.0
675,47.0
676,49.0
677,41.0
678,33.0
679,48.0
680,50.0
681,70.0
682,76.0
683,77.0
684,73.0
685,55.0
686,43.0
687,38.0
688,47.0
689,42.0
690,46.0
691,48.0
692,61.0
693,73.0
694,71.0
695,66.0
696,54.0
697,28.0
698,15.0
699,13.0
700,12.0
701,14.0
702,15.0
703,14.0
704,14.0
705,13.0
706,13.0
707,12.0
708,14.0
709,17.0
710,17.0
711,17.0
712,17.0
713,20.0
714,19.0
715,18.0
716,10.0
717,8.0
718,12.0
719,13.0
720,10.0
721,10.0
722,10.0
723,9.0
724,4.0
725,7.0
726,11.0
727,21.0
728,23.0
729,32.0
730,39.0
731,46.0
732,66.0
733,96.0
734,129.0
735,141.0
736,138.0
737,136.0
738,105.0
739,103.0
740,111.0
741,113.0
742,104.0
743,106.0
744,88.0
745,70.0
746,63.0
747,63.0
748,54.0
749,58.0
750,54.0
751,51.0
752,57.0
753,56.0
754,49.0
755,32.0
756,18.0
757,13.0
758,12.0
759,16.0
760,16.0
761,13.0
762,14.0
763,15.0
764,13.0
765,12.0
766,12.0
767,18.0
768,17.0
769,17.0
770,17.0
771,22.0
772,20.0
773,19.0
774,21.0
775,17.0
776,10.0
777,10.0
778,12.0
779,14.0
780,14.0
781,8.0
782,7.0
783,5.0
784,9.0
785,13.0
786,19.0
787,25.0
788,34.0
789,46.0
790,61.0
791,103.0
792,157.0
793,177.0
794,198.0
795,202.0
796,216.0
797,213.0
798,234.0
799,187.0
800,176.0
801,164.0
802,154.0
803,156.0
804,149.0
805,118.0
806,92.0
807,81.0
808,83.0
809,80.0
810,80.0
811,66.0
812,52.0
813,43.0
814,25.0
815,18.0
816,16.0
817,12.0
818,17.0
819,19.0
820,16.0
821,14.0
822,12.0
823,11.0
824,11.0
825,11.0
826,19.0
827,19.0
828,17.0
829,21.0
830,21.0
831,20.0
832,17.0
833,17.0
834,16.0
835,10.0
836,11.0
837,14.0
838,12.0
839,13.0
840,19.0
841,25.0
842,25.0
843,27.0
844,14.0
845,17.0
846,27.0
847,36.0
848,51.0
849,101.0
850,147.0
851,176.0
852,210.0
853,239.0
854,258.0
855,254.0
856,285.0
857,310.0
858,316.0
859,314.0
860,317.0
861,272.0
862,245.0
863,248.0
864,224.0
865,197.0
866,194.0
867,184.0
868,166.0
869,120.0
870,103.0
871,71.0
872,48.0
873,26.0
874,19.0
875,15.0
876,14.0
877,12.0
878,15.0
879,20.0
880,14.0
881,13.0
882,13.0
883,13.0
884,7.0
885,18.0
886,19.0
887,19.0
888,20.0
889,20.0
890,20.0
891,15.0
892,18.0
893,13.0
894,8.0
895,11.0
896,12.0
897,13.0
898,28.0
899,34.0
900,33.0
901,35.0
902,37.0
903,40.0
904,25.0
905,31.0
906,43.0
907,72.0
908,114.0
909,177.0
910,219.0
911,279.0
912,356.0
913,350.0
914,390.0
915,427.0
916,450.0
917,476.0
918,465.0
919,433.0
920,387.0
921,351.0
922,343.0
923,381.0
924,328.0
925,277.0
926,268.0
927,244.0
928,198.0
929,133.0
930,102.0
931,53.0
932,30.0
933,21.0
934,17.0
935,14.0
936,10.0
937,11.0
938,10.0
939,13.0
940,15.0
941,10.0
942,8.0
943,8.0
944,17.0
945,17.0
946,17.0
947,18.0
948,18.0
949,14.0
950,16.0
951,16.0
952,13.0
953,10.0
954,12.0
955,14.0
956,30.0
957,34.0
958,39.0
959,39.0
960,43.0
961,43.0
962,42.0
963,43.0
964,29.0
965,35.0
966,80.0
967,139.0
968,220.0
969,309.0
970,368.0
971,399.0
972,467.0
973,541.0
974,611.0
975,654.0
976,625.0
977,593.0
978,568.0
979,539.0
980,471.0
981,477.0
982,477.0
983,401.0
984,354.0
985,302.0
986,295.0
987,252.0
988,186.0
989,140.0
990,75.0
991,45.0
992,31.0
993,22.0
994,14.0
995,13.0
996,11.0
997,11.0
998,6.0
999,5.0
1000,5.0
1001,5.0
1002,5.0
1003,6.0
1004,13.0
1005,16.0
1006,15.0
1007,12.0
1008,13.0
1009,16.0
1010,14.0
1011,10.0
1012,10.0
1013,14.0
1014,16.0
1015,33.0
1016,40.0
1017,43.0
1018,41.0
1019,44.0
1020,45.0
1021,45.0
1022,44.0
1023,38.0
1024,35.0
1025,83.0
1026,157.0
1027,281.0
1028,350.0
1029,392.0
1030,449.0
1031,568.0
1032,669.0
1033,759.0
1034,789.0
1035,787.0
1036,806.0
1037,778.0
1038,741.0
1039,679.0
1040,649.0
1041,573.0
1042,505.0
1043,421.0
1044,350.0
1045,321.0
1046,300.0
1047,233.0
1048,157.0
1049,93.0
1050,56.0
1051,38.0
1052,27.0
1053,18.0
1054,12.0
1055,11.0
1056,10.0
1057,6.0
1058,7.0
1059,6.0
1060,6.0
1061,5.0
1062,5.0
1063,13.0
1064,14.0
1065,14.0
1066,15.0
1067,14.0
1068,14.0
1069,9.0
1070,7.0
1071,12.0
1072,14.0
1073,22.0
1074,35.0
1075,41.0
1076,44.0
1077,42.0
1078,47.0
1079,47.0
1080,44.0
1081,46.0
1082,47.0
1083,47.0
1084,129.0
1085,229.0
1086,383.0
1087,446.0
1088,499.0
1089,608.0
1090,743.0
1091,847.0
1092,927.0
1093,960.0
1094,968.0
1095,952.0
1096,962.0
1097,159.0
1098,154.0
1099,119.0
1100,699.0
1101,585.0
1102,531.0
1103,162.0
1104,341.0
1105,338.0
1106,289.0
1107,187.0
1108,122.0
1109,73.0
1110,47.0
1111,30.0
1112,20.0
1113,13.0
1114,11.0
1115,8.0
1116,7.0
1117,8.0
1118,6.0
1119,7.0
1120,8.0
1121,5.0
1122,5.0
1123,6.0
1124,11.0
1125,11.0
1126,11.0
1127,9.0
1128,7.0
1129,7.0
1130,10.0
1131,13.0
1132,22.0
1133,34.0
1134,40.0
1135,42.0
1136,43.0
1137,46.0
1138,49.0
1139,46.0
1140,52.0
1141,53.0
1142,83.0
1143,148.0
1144,272.0
1145,408.0
1146,546.0
1147,682.0
1148,786.0
1149,916.0
1150,1061.0
1151,1106.0
1152,1151.0
1153,1124.0
1154,1142.0
1155,1177.0
1156,1131.0
1157,156.0
1158,138.0
1159,100.0
1160,778.0
1161,159.0
1162,528.0
1163,461.0
1164,409.0
1165,363.0
1166,215.0
1167,151.0
1168,88.0
1169,54.0
1170,26.0
1171,24.0
1172,20.0
1173,10.0
1174,11.0
1175,9.0
1176,9.0
1177,9.0
1178,9.0
1179,8.0
1180,5.0
1181,4.0
1182,4.0
1183,4.0
1184,4.0
1185,5.0
1186,6.0
1187,3.0
1188,7.0
1189,10.0
1190,11.0
1191,16.0
1192,33.0
1193,37.0
1194,42.0
1195,43.0
1196,45.0
1197,48.0
1198,50.0
1199,64.0
1200,78.0
1201,117.0
1202,195.0
1203,364.0
1204,502.0
1205,650.0
1206,784.0
1207,965.0
1208,1059.0
1209,1200.0
1210,159.0
1211,241.0
1212,281.0
1213,288.0
1214,242.0
1215,190.0
1216,180.0
1217,147.0
1218,1045.0
1219,107.0
1220,804.0
1221,696.0
1222,543.0
1223,438.0
1224,400.0
1225,282.0
1226,206.0
1227,126.0
1228,50.0
1229,36.0
1230,29.0
1231,32.0
1232,21.0
1233,20.0
1234,22.0
1235,22.0
1236,11.0
1237,11.0
1238,10.0
1239,4.0
1240,4.0
1241,4.0
1242,4.0
1243,4.0
1244,4.0
1245,7.0
1246,7.0
1247,4.0
1248,6.0
1249,7.0
1250,8.0
1251,23.0
1252,32.0
1253,42.0
1254,46.0
1255,45.0
1256,50.0
1257,53.0
1258,74.0
1259,103.0
1260,172.0
1261,276.0
1262,441.0
1263,599.0
1264,775.0
1265,909.0
1266,1019.0
1267,1155.0
1268,1259.0
1269,211.0
1270,251.0
1271,294.0
1272,299.0
1273,282.0
1274,256.0
1275,278.0
1276,219.0
1277,157.0
1278,1027.0
1279,951.0
1280,825.0
1281,652.0
1282,490.0
1283,422.0
1284,322.0
1285,244.0
1286,176.0
1287,106.0
1288,55.0
1289,39.0
1290,30.0
1291,26.0
1292,22.0
1293,23.0
1294,23.0
1295,22.0
1296,11.0
1297,10.0
1298,0.0
1299,4.0
1300,4.0
1301,4.0
1302,4.0
1303,6.0
1304,6.0
1305,7.0
1306,4.0
1307,6.0
1308,6.0
1309,7.0
1310,8.0
1311,25.0
1312,39.0
1313,47.0
1314,53.0
1315,52.0
1316,69.0
1317,90.0
1318,167.0
1319,269.0
1320,393.0
1321,529.0
1322,698.0
1323,896.0
1324,1046.0
1325,228.0
1326,229.0
1327,206.0
1328,227.0
1329,231.0
1330,259.0
1331,303.0
1332,307.0
1333,286.0
1334,280.0
1335,262.0
1336,256.0
1337,1115.0
1338,1013.0
1339,874.0
1340,779.0
1341,648.0
1342,443.0
1343,364.0
1344,302.0
1345,228.0
1346,148.0
1347,101.0
1348,51.0
1349,32.0
1350,26.0
1351,19.0
1352,25.0
1353,23.0
1354,23.0
1355,11.0
1356,9.0
1357,0.0
1358,4.0
1359,4.0
1360,4.0
1361,6.0
1362,6.0
1363,6.0
1364,3.0
1365,4.0
1366,4.0
1367,6.0
1368,6.0
1369,9.0
1370,10.0
1371,22.0
1372,29.0
1373,35.0
1374,44.0
1375,64.0
1376,132.0
1377,213.0
1378,348.0
1379,465.0
1380,651.0
1381,848.0
1382,1017.0
1383,236.0
1384,276.0
1385,315.0
1386,283.0
1387,250.0
1388,221.0
1389,215.0
1390,236.0
1391,250.0
1392,280.0
1393,300.0
1394,283.0
1395,255.0
1396,1210.0
1397,1114.0
1398,873.0
1399,829.0
1400,689.0
1401,540.0
1402,417.0
1403,337.0
1404,280.0
1405,194.0
1406,124.0
1407,70.0
1408,36.0
1409,30.0
1410,21.0
1411,23.0
1412,21.0
1413,21.0
1414,19.0
1415,9.0
1416,4.0
1417,4.0
1418,4.0
1419,4.0
1420,6.0
1421,0.0
1422,6.0
1423,3.0
1424,4.0
1425,4.0
1426,6.0
1427,8.0
1428,11.0
1429,19.0
1430,21.0
1431,22.0
1432,31.0
1433,48.0
1434,97.0
1435,136.0
1436,249.0
1437,390.0
1438,526.0
1439,738.0
1440,187.0
1441,246.0
1442,265.0
1443,279.0
1444,278.0
1445,288.0
1446,248.0
1447,235.0
1448,227.0
1449,238.0
1450,229.0
1451,287.0
1452,1553.0
1453,1376.0
1454,1366.0
1455,1268.0
1456,1188.0
1457,941.0
1458,880.0
1459,752.0
1460,583.0
1461,499.0
1462,365.0
1463,306.0
1464,236.0
1465,156.0
1466,76.0
1467,43.0
1468,35.0
1469,24.0
1470,22.0
1471,21.0
1472,20.0
1473,19.0
1474,8.0
1475,4.0
1476,4.0
1477,4.0
1478,4.0
1479,0.0
1480,6.0
1481,3.0
1482,4.0
1483,4.0
1484,5.0
1485,5.0
1486,8.0
1487,17.0
1488,27.0
1489,30.0
1490,37.0
1491,42.0
1492,65.0
1493,101.0
1494,147.0
1495,247.0
1496,450.0
1497,593.0
1498,823.0
1499,1048.0
1500,247.0
1501,283.0
1502,302.0
1503,1526.0
1504,260.0
1505,1556.0
1506,220.0
1507,207.0
1508,197.0
1509,219.0
1510,255.0
1511,1649.0
1512,1504.0
1513,1455.0
1514,1276.0
1515,1133.0
1516,994.0
1517,943.0
1518,737.0
1519,608.0
1520,510.0
1521,415.0
1522,295.0
1523,228.0
1524,221.0
1525,97.0
1526,46.0
1527,36.0
1528,31.0
1529,27.0
1530,21.0
1531,20.0
1532,15.0
1533,6.0
1534,1.0
1535,1.0
1536,1.0
1537,3.0
1538,3.0
1539,3.0
1540,3.0
1541,4.0
1542,5.0
1543,12.0
1544,15.0
1545,24.0
1546,33.0
1547,48.0
1548,46.0
1549,52.0
1550,63.0
1551,96.0
1552,114.0
1553,151.0
1554,251.0
1555,457.0
1556,605.0
1557,860.0
1558,1068.0
1559,247.0
1560,270.0
1561,1555.0
1562,1634.0
1563,1638.0
1564,1585.0
1565,272.0
1566,206.0
1567,1530.0
1568,1547.0
1569,1557.0
1570,1579.0
1571,1541.0
1572,1502.0
1573,1278.0
1574,1121.0
1575,1030.0
1576,981.0
1577,730.0
1578,610.0
1579,548.0
1580,445.0
1581,277.0
1582,237.0
1583,236.0
1584,119.0
1585,61.0
1586,46.0
1587,40.0
1588,29.0
1589,25.0
1590,20.0
1591,10.0
1592,6.0
1593,1.0
1594,1.0
1595,1.0
1596,1.0
1597,3.0
1598,3.0
1599,4.0
1600,4.0
1601,14.0
1602,15.0
1603,16.0
1604,28.0
1605,44.0
1606,56.0
1607,62.0
1608,59.0
1609,74.0
1610,105.0
1611,139.0
1612,162.0
1613,264.0
1614,460.0
1615,609.0
1616,859.0
1617,1050.0
1618,1241.0
1619,291.0
1620,293.0
1621,295.0
1622,1583.0
1623,224.0
1624,228.0
1625,229.0
1626,1527.0
1627,1549.0
1628,1524.0
1629,1562.0
1630,1500.0
1631,271.0
1632,244.0
1633,1126.0
1634,1022.0
1635,943.0
1636,740.0
1637,625.0
1638,570.0
1639,375.0
1640,257.0
1641,246.0
1642,219.0
1643,121.0
1644,76.0
1645,53.0
1646,44.0
1647,42.0
1648,28.0
1649,11.0
1650,6.0
1651,7.0
1652,1.0
1653,1.0
1654,1.0
1655,1.0
1656,1.0
1657,4.0
1658,5.0
1659,9.0
1660,14.0
1661,17.0
1662,25.0
1663,49.0
1664,65.0
1665,73.0
1666,79.0
1667,82.0
1668,88.0
1669,101.0
1670,153.0
1671,207.0
1672,294.0
1673,465.0
1674,581.0
1675,844.0
1676,200.0
1677,1269.0
1678,265.0
1679,250.0
1680,278.0
1681,274.0
1682,267.0
1683,1588.0
1684,1580.0
1685,1531.0
1686,269.0
1687,1589.0
1688,1540.0
1689,271.0
1690,273.0
1691,218.0
1692,1107.0
1693,976.0
1694,835.0
1695,663.0
1696,576.0
1697,506.0
1698,358.0
1699,265.0
1700,237.0
1701,190.0
1702,96.0
1703,77.0
1704,57.0
1705,48.0
1706,39.0
1707,29.0
1708,15.0
1709,8.0
1710,6.0
1711,1.0
1712,1.0
1713,1.0
1714,1.0
1715,2.0
1716,3.0
1717,5.0
1718,12.0
1719,15.0
1720,17.0
1721,42.0
1722,67.0
1723,67.0
1724,72.0
1725,85.0
1726,89.0
1727,95.0
1728,133.0
1729,169.0
1730,219.0
1731,306.0
1732,493.0
1733,628.0
1734,839.0
1735,1045.0
1736,227.0
1737,1335.0
1738,237.0
1739,300.0
1740,1523.0
1741,1569.0
1742,232.0
1743,1522.0
1744,1506.0
1745,1564.0
1746,1632.0
1747,1543.0
1748,241.0
1749,238.0
1750,168.0
1751,1115.0
1752,924.0
1753,771.0
1754,604.0
1755,529.0
1756,431.0
1757,318.0
1758,250.0
1759,195.0
1760,144.0
1761,93.0
1762,66.0
1763,54.0
1764,38.0
1765,33.0
1766,26.0
1767,17.0
1768,7.0
1769,6.0
1770,4.0
1771,4.0
1772,4.0
1773,4.0
1774,2.0
1775,3.0
1776,3.0
1777,11.0
1778,13.0
1779,20.0
1780,57.0
1781,67.0
1782,67.0
1783,72.0
1784,81.0
1785,94.0
1786,139.0
1787,151.0
1788,163.0
1789,235.0
1790,327.0
1791,480.0
1792,594.0
1793,847.0
1794,174.0
1795,191.0
1796,226.0
1797,255.0
1798,1412.0
1799,1491.0
1800,248.0
1801,1386.0
1802,1384.0
1803,256.0
1804,1536.0
1805,1601.0
1806,260.0
1807,304.0
1808,282.0
1809,189.0
1810,98.0
1811,855.0
1812,652.0
1813,514.0
1814,466.0
1815,342.0
1816,262.0
1817,202.0
1818,154.0
1819,118.0
1820,93.0
1821,64.0
1822,54.0
1823,36.0
1824,32.0
1825,28.0
1826,17.0
1827,11.0
1828,8.0
1829,4.0
1830,4.0
1831,4.0
1832,5.0
1833,6.0
1834,3.0
1835,4.0
1836,14.0
1837,18.0
1838,27.0
1839,49.0
1840,68.0
1841,72.0
1842,32.0
1843,87.0
1844,102.0
1845,153.0
1846,167.0
1847,208.0
1848,249.0
1849,317.0
1850,460.0
1851,553.0
1852,755.0
1853,880.0
1854,200.0
1855,266.0
1856,286.0
1857,1286.0
1858,1379.0
1859,1379.0
1860,1283.0
1861,1298.0
1862,1449.0
1863,1527.0
1864,1555.0
1865,245.0
1866,346.0
1867,283.0
1868,187.0
1869,933.0
1870,756.0
1871,550.0
1872,380.0
1873,326.0
1874,267.0
1875,205.0
1876,165.0
1877,123.0
1878,107.0
1879,80.0
1880,67.0
1881,52.0
1882,34.0
1883,31.0
1884,28.0
1885,17.0
1886,11.0
1887,8.0
1888,4.0
1889,4.0
1890,5.0
1891,5.0
1892,6.0
1893,6.0
1894,7.0
1895,13.0
1896,17.0
1897,28.0
1898,46.0
1899,61.0
1900,75.0
1901,30.0
1902,92.0
1903,112.0
1904,160.0
1905,215.0
1906,230.0
1907,252.0
1908,302.0
1909,410.0
1910,521.0
1911,692.0
1912,810.0
1913,189.0
1914,281.0
1915,1115.0
1916,1157.0
1917,1262.0
1918,1257.0
1919,1182.0
1920,1167.0
1921,1313.0
1922,1418.0
1923,1484.0
1924,1360.0
1925,1277.0
1926,1064.0
1927,990.0
1928,884.0
1929,650.0
1930,472.0
1931,269.0
1932,222.0
1933,208.0
1934,171.0
1935,120.0
1936,108.0
1937,91.0
1938,71.0
1939,61.0
1940,45.0
1941,38.0
1942,30.0
1943,24.0
1944,16.0
1945,11.0
1946,8.0
1947,0.0
1948,5.0
1949,5.0
1950,5.0
1951,9.0
1952,21.0
1953,28.0
1954,29.0
1955,29.0
1956,19.0
1957,43.0
1958,55.0
1959,73.0
1960,84.0
1961,114.0
1962,171.0
1963,238.0
1964,274.0
1965,266.0
1966,267.0
1967,296.0
1968,356.0
1969,458.0
1970,617.0
1971,742.0
1972,773.0
1973,834.0
1974,938.0
1975,997.0
1976,1091.0
1977,1158.0
1978,1071.0
1979,1062.0
1980,1095.0
1981,1286.0
1982,1406.0
1983,1319.0
1984,262.0
1985,1031.0
1986,893.0
1987,773.0
1988,601.0
1989,361.0
1990,218.0
1991,177.0
1992,154.0
1993,132.0
1994,90.0
1995,76.0
1996,77.0
1997,57.0
1998,50.0
1999,42.0
2000,36.0
2001,26.0
2002,21.0
2003,15.0
2004,9.0
2005,7.0
2006,5.0
2007,5.0
2008,5.0
2009,8.0
2010,30.0
2011,35.0
2012,34.0
2013,35.0
2014,37.0
2015,44.0
2016,41.0
2017,52.0
2018,62.0
2019,102.0
2020,167.0
2021,199.0
2022,254.0
2023,293.0
2024,262.0
2025,296.0
2026,282.0
2027,318.0
2028,391.0
2029,521.0
2030,641.0
2031,692.0
2032,690.0
2033,749.0
2034,900.0
2035,988.0
2036,1097.0
2037,137.0
2038,933.0
2039,980.0
2040,1233.0
2041,168.0
2042,1201.0
2043,288.0
2044,976.0
2045,852.0
2046,721.0
2047,550.0
2048,266.0
2049,200.0
2050,148.0
2051,127.0
2052,89.0
2053,69.0
2054,50.0
2055,39.0
2056,42.0
2057,34.0
2058,33.0
2059,30.0
2060,26.0
2061,17.0
2062,13.0
2063,8.0
2064,7.0
2065,5.0
2066,5.0
2067,5.0
2068,25.0
2069,29.0
2070,35.0
2071,34.0
2072,34.0
2073,37.0
2074,41.0
2075,46.0
2076,44.0
2077,69.0
2078,129.0
2079,160.0
2080,199.0
2081,234.0
2082,265.0
2083,278.0
2084,297.0
2085,294.0
2086,298.0
2087,330.0
2088,432.0
2089,530.0
2090,582.0
2091,595.0
2092,610.0
2093,127.0
2094,868.0
2095,911.0
2096,955.0
2097,107.0
2098,135.0
2099,168.0
2100,199.0
2101,255.0
2102,197.0
2103,885.0
2104,780.0
2105,639.0
2106,404.0
2107,273.0
2108,143.0
2109,97.0
2110,81.0
2111,59.0
2112,40.0
2113,32.0
2114,23.0
2115,22.0
2116,25.0
2117,24.0
2118,27.0
2119,21.0
2120,10.0
2121,12.0
