Grid_Number,Mum_n_Connectivity
533,1.0
534,1.0
535,3.0
536,3.0
537,3.0
538,3.0
539,3.0
540,4.0
541,7.0
542,9.0
543,17.0
544,38.0
545,53.0
546,58.0
547,74.0
548,6.0
549,1.0
550,1.0
551,4.0
552,1.0
553,2.0
554,5.0
555,88.0
556,71.0
557,63.0
558,61.0
559,52.0
560,42.0
561,38.0
562,33.0
563,40.0
564,34.0
565,25.0
566,17.0
567,17.0
568,13.0
569,9.0
570,1.0
571,1.0
572,1.0
573,1.0
574,3.0
575,2.0
576,2.0
577,3.0
578,4.0
579,4.0
580,8.0
581,14.0
582,29.0
583,39.0
584,47.0
585,58.0
586,4.0
587,4.0
588,0.0
589,82.0
590,82.0
591,70.0
592,4.0
593,2.0
594,58.0
595,1.0
596,2.0
597,51.0
598,48.0
599,54.0
600,50.0
601,47.0
602,46.0
603,39.0
604,34.0
605,25.0
606,9.0
607,8.0
608,2.0
609,1.0
610,1.0
611,1.0
612,1.0
613,1.0
614,2.0
615,3.0
616,3.0
617,4.0
618,4.0
619,9.0
620,22.0
621,32.0
622,36.0
623,36.0
624,3.0
625,56.0
626,62.0
627,72.0
628,64.0
629,58.0
630,60.0
631,57.0
632,1.0
633,4.0
634,2.0
635,3.0
636,59.0
637,69.0
638,68.0
639,66.0
640,54.0
641,51.0
642,43.0
643,34.0
644,27.0
645,11.0
646,0.0
647,0.0
648,0.0
649,3.0
650,1.0
651,1.0
652,2.0
653,3.0
654,3.0
655,3.0
656,4.0
657,7.0
658,14.0
659,24.0
660,26.0
661,1.0
662,34.0
663,43.0
664,50.0
665,51.0
666,53.0
667,49.0
668,54.0
669,53.0
670,60.0
671,63.0
672,2.0
673,1.0
674,68.0
675,74.0
676,82.0
677,83.0
678,83.0
679,70.0
680,55.0
681,48.0
682,36.0
683,19.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,2.0
690,2.0
691,2.0
692,3.0
693,3.0
694,4.0
695,5.0
696,9.0
697,12.0
698,21.0
699,23.0
700,23.0
701,26.0
702,36.0
703,35.0
704,33.0
705,37.0
706,43.0
707,45.0
708,54.0
709,58.0
710,58.0
711,64.0
712,3.0
713,79.0
714,88.0
715,86.0
716,86.0
717,77.0
718,57.0
719,52.0
720,44.0
721,26.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,2.0
728,2.0
729,2.0
730,2.0
731,3.0
732,3.0
733,4.0
734,5.0
735,9.0
736,12.0
737,16.0
738,17.0
739,16.0
740,14.0
741,17.0
742,20.0
743,22.0
744,29.0
745,32.0
746,43.0
747,54.0
748,59.0
749,62.0
750,74.0
751,83.0
752,90.0
753,86.0
754,84.0
755,77.0
756,58.0
757,55.0
758,46.0
759,34.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,2.0
766,1.0
767,2.0
768,2.0
769,2.0
770,3.0
771,2.0
772,4.0
773,4.0
774,9.0
775,9.0
776,9.0
777,8.0
778,5.0
779,4.0
780,11.0
781,14.0
782,18.0
783,28.0
784,31.0
785,47.0
786,52.0
787,58.0
788,70.0
789,82.0
790,88.0
791,87.0
792,76.0
793,70.0
794,58.0
795,56.0
796,46.0
797,32.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,3.0
804,1.0
805,1.0
806,2.0
807,2.0
808,2.0
809,3.0
810,2.0
811,4.0
812,5.0
813,5.0
814,5.0
815,5.0
816,4.0
817,4.0
818,4.0
819,4.0
820,8.0
821,11.0
822,17.0
823,30.0
824,39.0
825,46.0
826,56.0
827,73.0
828,82.0
829,83.0
830,71.0
831,68.0
832,58.0
833,52.0
834,41.0
835,31.0
